"stage2/step","Group: Ours_BN_Simple_cauchy - stage2/mcc_pearson","Group: Ours_BN_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Ours_BN_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Ours_BN_Simple_cauchy - _step","Group: Ours_BN_Simple_cauchy - _step__MIN","Group: Ours_BN_Simple_cauchy - _step__MAX","Group: Ours_BN_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_BN_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_BN_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_BN_Complicate_cauchy - _step","Group: Ours_BN_Complicate_cauchy - _step__MIN","Group: Ours_BN_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_pearson","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"1","0.47045565916210774","0.35261443667936776","0.6528858096477693","20048","20048","20048","0.16859171102344994","0.06288744068108795","0.3796563013958203","20047.2","20046","20048","0.5817681519369157","0.34631303518543066","0.8689518864731891","20048","20048","20048","0.451830019179752","0.25398531683424014","0.5757722437133073","20047.2","20046","20048"
"251","0.4301164405734047","0.33678979690848027","0.5047271442476978","20301","20301","20301","0.19187271875347678","0.05892210350256207","0.329471870292677","20300.2","20299","20301","0.562917685116028","0.3337101070031426","0.6834322364815427","20301","20301","20301","0.48142339759102726","0.285216334362103","0.5856626243243543","20300.2","20299","20301"
"501","0.5351575565863638","0.3157151301931755","0.7332050765446231","20554","20554","20554","0.16258317838679934","0.05443781396205918","0.3715048099036208","20553.2","20552","20554","0.6541775652671026","0.5230916345357131","0.8627721690582052","20554","20554","20554","0.4439924986265312","0.11302142542438895","0.6418572378318195","20553.2","20552","20554"
"751","0.5301753059549379","0.3870421371094596","0.656798041152191","20807","20807","20807","0.11898924925842547","0.06669668066096247","0.2009357310494518","20806.2","20805","20807","0.6026405026360128","0.48922650884871927","0.6791700063061737","20807","20807","20807","0.5121267724858429","0.23247888642092057","0.6227467449709039","20806.2","20805","20807"
"1001","0.4729718884834341","0.34551994330475927","0.6760040326820801","21060","21060","21060","0.1716648206478864","0.06832264652467591","0.35321038839909363","21059.2","21058","21060","0.5872400092945833","0.3719849845822794","0.7476334631155545","21060","21060","21060","0.4885733360836535","0.3147160555146705","0.6298521017622073","21059.2","21058","21060"
"1251","0.5004954785416124","0.39396697077578163","0.6301813020374506","21313","21313","21313","0.1630425756869432","0.051833919057377165","0.30683930900995704","21312.2","21311","21313","0.6260333078070175","0.3849798412862606","0.8182150657993538","21313","21313","21313","0.4815036071701468","0.3392583987140806","0.6119513019366333","21312.2","21311","21313"
"1501","0.4669065516433018","0.3526762328772741","0.5857451759273434","21566","21566","21566","0.1654359187414131","0.05506822678979835","0.30227940132783515","21565.2","21564","21566","0.6607434733910356","0.3447523568050466","0.9149949659914981","21566","21566","21566","0.45025953857503287","0.30540194721874664","0.5984096109741984","21565.2","21564","21566"
"1751","0.5080854697635923","0.3448504856685058","0.6333785660204739","21819","21819","21819","0.16046979125925678","0.06943409617134891","0.29143740402068274","21818.2","21817","21819","0.6437735618465162","0.40506253972852085","0.9419401146750136","21819","21819","21819","0.4752028042283608","0.1795645511153333","0.5842988078433506","21818.2","21817","21819"
"2001","0.4967260212855134","0.33553085100467156","0.7082541874639686","22072","22072","22072","0.14950437912523257","0.057697637853716954","0.3675574760013163","22071.2","22070","22072","0.6573319277511952","0.3916035856732288","0.9202164243388712","22072","22072","22072","0.5254856327754694","0.45049769134391215","0.6141860289888486","22071.2","22070","22072"
"2251","0.4864465979232606","0.35290371206873933","0.6125741278867122","22325","22325","22325","0.139047872840072","0.048390721408201685","0.3437338507896977","22324.2","22323","22325","0.6835629701968463","0.4310288932057605","0.9736016577938521","22325","22325","22325","0.5099417052694235","0.41141922607139014","0.5791217601067846","22324.2","22323","22325"
