"stage2/step","Group: Ours_BN_Simple_cauchy - stage2/mcc_spearman","Group: Ours_BN_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_BN_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_BN_Simple_cauchy - _step","Group: Ours_BN_Simple_cauchy - _step__MIN","Group: Ours_BN_Simple_cauchy - _step__MAX","Group: Ours_BN_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_BN_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_BN_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_BN_Complicate_cauchy - _step","Group: Ours_BN_Complicate_cauchy - _step__MIN","Group: Ours_BN_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"1","0.5583208470818933","0.44511162602231336","0.6231678842880867","20048","20048","20048","0.28432778884840004","0.23751565978873174","0.32470264748579886","20047.2","20046","20048","0.5724568325099683","0.46159430509365","0.6449794246640632","20048","20048","20048","0.3700257324858235","0.34580960921877274","0.40188923127522047","20047.2","20046","20048"
"251","0.55821173935981","0.42149966222073115","0.6262831917881047","20301","20301","20301","0.2949044152372805","0.2508332283443257","0.3616077032822506","20300.2","20299","20301","0.5911426458526959","0.45291575079214813","0.6464759338368659","20301","20301","20301","0.3984726680647056","0.36954532112888094","0.43187143500361946","20300.2","20299","20301"
"501","0.559507231621557","0.3898499189046633","0.6318408991816026","20554","20554","20554","0.27642292203682595","0.24361825698644163","0.3357171562119071","20553.2","20552","20554","0.6071222474556046","0.5732542818044258","0.6508760911851511","20554","20554","20554","0.41570022460296724","0.3700590321106608","0.46100515699412004","20553.2","20552","20554"
"751","0.5634968851901341","0.42309408477097793","0.6149061744277204","20807","20807","20807","0.2642955503568365","0.23670544625770198","0.34556205393816425","20806.2","20805","20807","0.6103808675745704","0.5674566486962664","0.6677346526636286","20807","20807","20807","0.4278184765460775","0.38973769517323387","0.4692474972436065","20806.2","20805","20807"
"1001","0.5644904405933309","0.42490278875232707","0.6284120872912426","21060","21060","21060","0.2654518009820152","0.21267258654839907","0.342332400180828","21059.2","21058","21060","0.6267319268216618","0.5611163308338832","0.7139647373893246","21060","21060","21060","0.4329358974091956","0.38137122696443726","0.476612230859174","21059.2","21058","21060"
"1251","0.5650661533506784","0.42144185481349067","0.6122525939707647","21313","21313","21313","0.2563831123642809","0.2002870066143939","0.35247938348746816","21312.2","21311","21313","0.6299644229609498","0.5486405178077013","0.7196204417447202","21313","21313","21313","0.43193964967955256","0.39342198665976935","0.4857325956283166","21312.2","21311","21313"
"1501","0.5734629129160214","0.42564541096983627","0.62872806417844","21566","21566","21566","0.2596928127986315","0.21031071101985624","0.3502673066067432","21565.2","21564","21566","0.6446892426807388","0.5947075935155748","0.7269586804208298","21566","21566","21566","0.44306628811482884","0.40287518603273015","0.4963904414119088","21565.2","21564","21566"
"1751","0.5705954323577515","0.41691058703809475","0.6391677761991392","21819","21819","21819","0.2641763625044009","0.22002197159174464","0.3557512093644264","21818.2","21817","21819","0.6472795518214338","0.5971187656853311","0.7332867417810317","21819","21819","21819","0.446621434694645","0.40157325541875","0.5043152328795182","21818.2","21817","21819"
"2001","0.5742186196810459","0.42116620522139314","0.6239276704532756","22072","22072","22072","0.26198708525026504","0.2179806092300768","0.3675126581545013","22071.2","22070","22072","0.6512157248705158","0.5998691267403916","0.7356575520965455","22072","22072","22072","0.44589316469976925","0.3972044586143631","0.4891286207355986","22071.2","22070","22072"
"2251","0.5625650435938765","0.34787756928795416","0.6325419224095691","22325","22325","22325","0.2579940028427156","0.20726486594697743","0.3401279909656284","22324.2","22323","22325","0.6475996842224943","0.5897871976770156","0.7397550144676789","22325","22325","22325","0.45994091721022007","0.4097839687338108","0.5041766307275898","22324.2","22323","22325"
"2501","0.5665965885410669","0.40930651259758505","0.6264304255377195","22578","22578","22578","0.2548798144768306","0.22380827972275186","0.3369667954989153","22577.2","22576","22578","0.6470476013158084","0.5687698122969799","0.742135955821618","22578","22578","22578","0.466564322216448","0.41269599955787434","0.5150579179732392","22577.2","22576","22578"
"2751","0.5587378465672781","0.42007204093008443","0.6108482398589218","22831","22831","22831","0.2615416290377156","0.22895734111593055","0.340421502031504","22830.2","22829","22831","0.6307672924055998","0.5340028223300809","0.7494553613178508","22831","22831","22831","0.4670718462546926","0.4239199451232302","0.523566568158767","22830.2","22829","22831"
"3001","0.5724138527178713","0.4221857879400612","0.6220781418242257","23084","23084","23084","0.2512913189515359","0.21781291798999175","0.32982765385315005","23083.2","23082","23084","0.6435384269695381","0.553912269260236","0.7489788128413645","23084","23084","23084","0.4623058107827923","0.41596174582816553","0.5227532996420343","23083.2","23082","23084"
