"stage1/step","Group: Ours_MSE_Simple_cauchy - stage1/mcc_pearson","Group: Ours_MSE_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_MSE_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_MSE_Simple_cauchy - _step","Group: Ours_MSE_Simple_cauchy - _step__MIN","Group: Ours_MSE_Simple_cauchy - _step__MAX","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_MSE_Complicate_cauchy - _step","Group: Ours_MSE_Complicate_cauchy - _step__MIN","Group: Ours_MSE_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_pearson","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"1","0.5668373593612778","0.40893866110341887","0.6787248157358343","4","4","4","0.35510482637248425","0.24808068738528863","0.46048367298993964","4","4","4","0.5364303567622061","0.4062723349428005","0.6560331878627942","4","4","4","0.364679317226465","0.2635211405670165","0.4433212236299459","4","4","4"
"251","0.480509486587831","0.3353960208004796","0.7144055937333696","505","505","505","0.3362265712544081","0.2635000230757304","0.4582286800858366","505","505","505","0.5499747335154588","0.3428017509168216","0.6783131121498429","505","505","505","0.42582422983361806","0.3042280265435301","0.5288099530081389","505","505","505"
"501","0.5288159455797908","0.3726924175887632","0.655738638008191","1006","1006","1006","0.2974827736247438","0.17065306431603222","0.417414968390404","1006","1006","1006","0.6156712260095135","0.45646270307161646","0.8079023026875504","1006","1006","1006","0.37009023244301464","0.18055489826336618","0.5255726954492217","1006","1006","1006"
"751","0.5708823309180752","0.4515085653076178","0.6515522660746033","1507","1507","1507","0.32449585403643405","0.2229493587396735","0.4874918620828761","1507","1507","1507","0.7098127250460583","0.43634893313748463","0.8380667753265615","1507","1507","1507","0.3828762493437154","0.21922602908029595","0.4756941940271802","1507","1507","1507"
"1001","0.5282509329327323","0.3857213551340457","0.6839809297623504","2008","2008","2008","0.3674881802469775","0.21264577678532123","0.4904844250778934","2008","2008","2008","0.599668846274626","0.44622366086135895","0.7219256033637959","2008","2008","2008","0.4669139628760982","0.3577029578417958","0.589707292957523","2008","2008","2008"
"1251","0.5534513974652798","0.37648028592477073","0.7756274355633379","2509","2509","2509","0.32172132400661996","0.1009923781156965","0.4581645718283565","2509","2509","2509","0.6880050521542523","0.5975475188964211","0.7838816312579086","2509","2509","2509","0.44060774931060476","0.10516381707506503","0.6122900201152816","2509","2509","2509"
"1501","0.5229041165456494","0.41180718053520277","0.6584064627679608","3010","3010","3010","0.332387269363281","0.22707535967543652","0.4462565911553339","3010","3010","3010","0.6524901428020002","0.4562676143628864","0.7891912891468665","3010","3010","3010","0.4112484975785876","0.2877547760934257","0.5174984562494102","3010","3010","3010"
"1751","0.4874872293010218","0.3626596866868513","0.6385229581304289","3511","3511","3511","0.32777508689218443","0.124131522303691","0.5243978866329788","3511","3511","3511","0.685722379987773","0.5453735610799278","0.8746444848337213","3511","3511","3511","0.3986908153597032","0.12491099291613397","0.5789148224145713","3511","3511","3511"
"2001","0.5092670889826908","0.4104168935018797","0.637599258045225","4012","4012","4012","0.3516955889127058","0.217297840283848","0.5075770867369302","4012","4012","4012","0.6373996915735436","0.38878978001343206","0.8130514030374568","4012","4012","4012","0.44551705953200377","0.19767990326898813","0.5889623954196285","4012","4012","4012"
"2251","0.5353875861009575","0.40317341008606244","0.764642584171137","4513","4513","4513","0.3265943704164307","0.18390833214153504","0.4679074318665305","4513","4513","4513","0.6358015430786431","0.4692537303743731","0.7807155473356818","4513","4513","4513","0.4577802475712141","0.24955549965760673","0.5228644888511617","4513","4513","4513"
