"stage2/step","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_MSE_Simple_cauchy - _step","Group: Ours_MSE_Simple_cauchy - _step__MIN","Group: Ours_MSE_Simple_cauchy - _step__MAX","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_MSE_Complicate_cauchy - _step","Group: Ours_MSE_Complicate_cauchy - _step__MIN","Group: Ours_MSE_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"1","0.5571387789331783","0.4877167690593029","0.6453563431902342","20048","20048","20048","0.26254404396312825","0.20792486739750413","0.3346658044347572","20047.2","20046","20048","0.5724568325099683","0.46159430509365","0.6449794246640632","20048","20048","20048","0.3700257324858235","0.34580960921877274","0.40188923127522047","20047.2","20046","20048"
"251","0.5047061634828865","0.31686718773589667","0.6006277340766503","20301","20301","20301","0.24393796053247288","0.19667391049757127","0.3263084292011025","20300.2","20299","20301","0.5911426458526959","0.45291575079214813","0.6464759338368659","20301","20301","20301","0.3984726680647056","0.36954532112888094","0.43187143500361946","20300.2","20299","20301"
"501","0.5114821870252154","0.32743510013580485","0.6372781668441606","20554","20554","20554","0.2417501944987935","0.1900429571063033","0.3047204180447972","20553.2","20552","20554","0.6071222474556046","0.5732542818044258","0.6508760911851511","20554","20554","20554","0.41570022460296724","0.3700590321106608","0.46100515699412004","20553.2","20552","20554"
"751","0.5075791105418899","0.3212470298574552","0.6274703046489654","20807","20807","20807","0.23540932822530544","0.16443534831568501","0.28791410271943796","20806.2","20805","20807","0.6103808675745704","0.5674566486962664","0.6677346526636286","20807","20807","20807","0.4278184765460775","0.38973769517323387","0.4692474972436065","20806.2","20805","20807"
"1001","0.5121019775755636","0.3033154519654238","0.6311179648593154","21060","21060","21060","0.2431254101673666","0.17759980938094772","0.3240537012173183","21059.2","21058","21060","0.6267319268216618","0.5611163308338832","0.7139647373893246","21060","21060","21060","0.4329358974091956","0.38137122696443726","0.476612230859174","21059.2","21058","21060"
"1251","0.50714101268995","0.31815230481220397","0.6302188199465034","21313","21313","21313","0.24931064904955486","0.19808170547725226","0.33156368377699696","21312.2","21311","21313","0.6299644229609498","0.5486405178077013","0.7196204417447202","21313","21313","21313","0.43193964967955256","0.39342198665976935","0.4857325956283166","21312.2","21311","21313"
"1501","0.5098878854701412","0.31596688144347107","0.6297092022710419","21566","21566","21566","0.2548241150118881","0.2204695678550958","0.33195909621148967","21565.2","21564","21566","0.6446892426807388","0.5947075935155748","0.7269586804208298","21566","21566","21566","0.44306628811482884","0.40287518603273015","0.4963904414119088","21565.2","21564","21566"
"1751","0.5130612883720884","0.32060042419812873","0.6315921504623766","21819","21819","21819","0.23398996741369654","0.1426376138025895","0.2996058167075445","21818.2","21817","21819","0.6472795518214338","0.5971187656853311","0.7332867417810317","21819","21819","21819","0.446621434694645","0.40157325541875","0.5043152328795182","21818.2","21817","21819"
"2001","0.5116339688064703","0.31562561846963805","0.6292087598097614","22072","22072","22072","0.22869914964466237","0.14100735564685338","0.3080696502337423","22071.2","22070","22072","0.6512157248705158","0.5998691267403916","0.7356575520965455","22072","22072","22072","0.44589316469976925","0.3972044586143631","0.4891286207355986","22071.2","22070","22072"
"2251","0.5135055463911233","0.305923929155828","0.6301511365359221","22325","22325","22325","0.2398349067181181","0.19933575159807768","0.30173582992424286","22324.2","22323","22325","0.6475996842224943","0.5897871976770156","0.7397550144676789","22325","22325","22325","0.45994091721022007","0.4097839687338108","0.5041766307275898","22324.2","22323","22325"
"2501","0.5128029102837518","0.3082452221922374","0.6277086961032204","22578","22578","22578","0.2436927220451775","0.18930685385980098","0.3042064478408712","22577.2","22576","22578","0.6470476013158084","0.5687698122969799","0.742135955821618","22578","22578","22578","0.466564322216448","0.41269599955787434","0.5150579179732392","22577.2","22576","22578"
"2751","0.5155903684688004","0.33213009385447917","0.6312740728023978","22831","22831","22831","0.24983143748241746","0.19582320464032224","0.3105385493380958","22830.2","22829","22831","0.6307672924055998","0.5340028223300809","0.7494553613178508","22831","22831","22831","0.4670718462546926","0.4239199451232302","0.523566568158767","22830.2","22829","22831"
"3001","0.516899790958864","0.3232052383550676","0.6272688402784573","23084","23084","23084","0.25040306080470626","0.1938352501841926","0.30613515800731556","23083.2","23082","23084","0.6435384269695381","0.553912269260236","0.7489788128413645","23084","23084","23084","0.4623058107827923","0.41596174582816553","0.5227532996420343","23083.2","23082","23084"
