"stage2/step","Group: Danru_Complicate_cauchy - stage2/mcc_pearson","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_pearson","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_pearson","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_pearson","Group: Danru_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Danru_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_pearson","Group: Danru_Simple_gumbel - stage2/mcc_pearson__MIN","Group: Danru_Simple_gumbel - stage2/mcc_pearson__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Danru_Simple_gauss - stage2/mcc_pearson","Group: Danru_Simple_gauss - stage2/mcc_pearson__MIN","Group: Danru_Simple_gauss - stage2/mcc_pearson__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX"
"1","0.22050371973299132","0.12535679201887268","0.3505571189554019","20047.2","20046","20048","0.5145321587194893","0.4703749044597728","0.5746859030851434","20047.4","20046","20048","0.5410166189969805","0.4735015699704402","0.6002696614764916","20047.4","20046","20048","0.44794572727438675","0.11788255350056054","0.6499771773145765","20048","20048","20048","0.5806245907870065","0.5018653187163727","0.7767237272736894","20048","20048","20048","0.6263519320331611","0.513782998055852","0.8040703362832075","20048","20048","20048"
"251","0.22127856376764413","0.15642284870621115","0.3068265481458427","20300.2","20299","20301","0.4337986368407793","0.3419368345652828","0.5654437197543769","20300.4","20299","20301","0.4678642467527892","0.3400564855435928","0.5669345697699473","20300.4","20299","20301","0.39641209651640935","0.2053856228791878","0.6687556471050436","20301","20301","20301","0.4601730219589858","0.2985289290557774","0.6313153923091682","20301","20301","20301","0.5011573809891219","0.17849573989278608","0.6512434218247075","20301","20301","20301"
"501","0.24550301038514957","0.12396304296463005","0.4020448078309135","20553.2","20552","20554","0.4089348485554728","0.3360492531692899","0.5335243536399654","20553.4","20552","20554","0.44730790781147817","0.25033966224872545","0.5362642503083799","20553.4","20552","20554","0.3330582529463847","0.1969502463485933","0.5243103014861051","20554","20554","20554","0.4426612560832065","0.2527855902352589","0.6300448819749508","20554","20554","20554","0.46228575324556215","0.18700891985342039","0.6583352771375864","20554","20554","20554"
"751","0.19421940112601255","0.10444053973046277","0.3007762505849049","20806.2","20805","20807","0.39971324136004954","0.3278984104366067","0.5210111487661926","20806.4","20805","20807","0.4432004667216579","0.24486162370964717","0.5396153379735543","20806.4","20805","20807","0.3756555262748559","0.20034367430892927","0.5223108088257801","20807","20807","20807","0.4296600205961216","0.2695585266395604","0.6281513899934854","20807","20807","20807","0.4594479857184243","0.19602312446599282","0.6631238843330266","20807","20807","20807"
"1001","0.18971760067954724","0.10133200943604863","0.3010140228866887","21059.2","21058","21060","0.39568082395765175","0.3341654151256298","0.5077279419963265","21059.4","21058","21060","0.4406395222333794","0.2381511318450431","0.520457516560817","21059.4","21058","21060","0.3390077016575901","0.11291006842129947","0.5805675578962681","21060","21060","21060","0.4253582480758463","0.265166836477883","0.6314362541073285","21060","21060","21060","0.45128193579650394","0.19260647800348585","0.6702788146220007","21060","21060","21060"
"1251","0.21145210906216727","0.13625038550423474","0.3429367333839185","21312.2","21311","21313","0.3913417937137819","0.31803364157022285","0.5196900656769586","21312.4","21311","21313","0.4450318269407577","0.2251279078519572","0.574763950973449","21312.4","21311","21313","0.36716081739855944","0.2640632902923689","0.5461352704269303","21313","21313","21313","0.4229768988348471","0.2371847121980133","0.631363135384352","21313","21313","21313","0.4525787518463427","0.16625935513535314","0.6657929801238719","21313","21313","21313"
"1501","0.2509792785338028","0.07625557218245092","0.4217555901783239","21565.2","21564","21566","0.38830245781342787","0.31684429676783366","0.5170574827801857","21565.4","21564","21566","0.4577436180854445","0.23179188862261038","0.5696852257581038","21565.4","21564","21566","0.31698522636286147","0.12434274101198477","0.46486517252985093","21566","21566","21566","0.42599392031727945","0.27078088369516123","0.6362885203527527","21566","21566","21566","0.4574437603967336","0.17935770107151708","0.6695506019263356","21566","21566","21566"
"1751","0.24916598973646392","0.183489152187637","0.3665960889787515","21818.2","21817","21819","0.3858524874939001","0.3101703694062703","0.5113564374671036","21818.4","21817","21819","0.4702795603690079","0.2300142469224089","0.5882693270394765","21818.4","21817","21819","0.34180608074620794","0.1321208472698714","0.5792768112282167","21819","21819","21819","0.4271274750993189","0.24797594491337616","0.6673647692725165","21819","21819","21819","0.45413235436346727","0.14899037406027382","0.6694372839714937","21819","21819","21819"
"2001","0.21134372956282102","0.10639981662425466","0.30132583195700346","22071.2","22070","22072","0.3877595467630604","0.3165947741963474","0.5323307118042557","22071.4","22070","22072","0.48973019902996134","0.22399311972602481","0.591992718376944","22071.4","22070","22072","0.3886838608519917","0.19660452626772673","0.5042159292274792","22072","22072","22072","0.42116609277732986","0.23897808748768248","0.6379828965744448","22072","22072","22072","0.46201169859971875","0.1497789440247029","0.6762487487074655","22072","22072","22072"
"2251","0.2479247750351446","0.15850736097318355","0.3230058518711647","22324.2","22323","22325","0.3955212049266076","0.31961603252146986","0.60608005669869","22324.4","22323","22325","0.49942406196222533","0.22510545253925995","0.6021725504723465","22324.4","22323","22325","0.39502537594738707","0.08421178629399494","0.5996206577150555","22325","22325","22325","0.4196298442913829","0.22810084414444573","0.6493427116758914","22325","22325","22325","0.4596445722937741","0.14720141632746306","0.6772582994375466","22325","22325","22325"
"2501","0.21200410323618937","0.12525745956963616","0.3235181762381399","22577.2","22576","22578","0.3989932979588586","0.31602010149425663","0.5989705104872326","22577.4","22576","22578","0.49555101056106865","0.22046328417183397","0.6048594132669268","22577.4","22576","22578","0.43186248406967387","0.275553578880638","0.5569900027918623","22578","22578","22578","0.4203502241169332","0.24512305206770132","0.6501625987502783","22578","22578","22578","0.45058127200997217","0.15526375029980857","0.6700664050437747","22578","22578","22578"
"2751","0.22110559240917552","0.11129024048301153","0.3286366606077158","22830.2","22829","22831","0.39686154014278496","0.3156828869423817","0.5912751553103559","22830.4","22829","22831","0.5005835527980046","0.22854478431934327","0.6086011653645113","22830.4","22829","22831","0.36645578615535807","0.07540622898826106","0.5331078749488654","22831","22831","22831","0.4184633125156301","0.22084889679932554","0.6472564995399592","22831","22831","22831","0.4544947163618824","0.14468496315876841","0.6678274124693804","22831","22831","22831"
"3001","0.19833537727395312","0.13732051374234447","0.27885251028167257","23083.2","23082","23084","0.4164904133727617","0.31329145734986913","0.6321225809148687","23083.4","23082","23084","0.5125260485215647","0.22824611138603185","0.6176871260993714","23083.4","23082","23084","0.41934094283683576","0.29287724774228574","0.6242441109915993","23084","23084","23084","0.4202289170415921","0.23479241486606628","0.648055320385415","23084","23084","23084","0.46349146620695947","0.16626270514877528","0.670427160915207","23084","23084","23084"
"3251","0.23036392647606424","0.08878005380566821","0.37610292643777143","23336.2","23335","23337","0.41849300262364963","0.3049845232862039","0.6475662010962626","23336.4","23335","23337","0.502684411162424","0.22181474745886987","0.610875579267986","23336.4","23335","23337","0.4291627022461575","0.31669312687685813","0.5767652228790355","23337","23337","23337","0.42479532522409674","0.23332470854109733","0.6622597815699603","23337","23337","23337","0.4582625011244582","0.12385761855815336","0.6820866562759554","23337","23337","23337"
"3501","0.1907802745718899","0.1174144796636241","0.2916206025242013","23589.2","23588","23590","0.4207329956565468","0.31646416879831485","0.6564981311318505","23589.4","23588","23590","0.5024872255452386","0.2198501265420548","0.6094032430830576","23589.4","23588","23590","0.41976967912466767","0.28022030303471784","0.5795104308630623","23590","23590","23590","0.4204211810815415","0.23180837199313498","0.658214291842166","23590","23590","23590","0.45200383372010816","0.12158362362257408","0.6867632972564425","23590","23590","23590"
"3751","0.21683200695220245","0.12836323442006894","0.3936025220786118","23842.2","23841","23843","0.4228201283992986","0.3106074378799239","0.6622476713929372","23842.4","23841","23843","0.5070188683818622","0.22140219665379965","0.6168763792191642","23842.4","23841","23843","0.37486757465044845","0.18221933762369313","0.714739404728625","23843","23843","23843","0.4274886320235189","0.24302853960784057","0.6845517653572889","23843","23843","23843","0.4634259926993516","0.13059335246560327","0.723956285346401","23843","23843","23843"
"4001","0.25032998468343687","0.16605613603348363","0.33503793769878853","24095.2","24094","24096","0.42055836904600835","0.3085191720851875","0.6695060380262838","24095.4","24094","24096","0.4860355432685803","0.21896566799880895","0.5611141924018314","24095.4","24094","24096","0.37750043141318607","0.1542540429236621","0.4877975269732115","24096","24096","24096","0.4257550347506604","0.24332710880204014","0.6970235520575422","24096","24096","24096","0.47433422687375837","0.11748851190253017","0.7479887833313472","24096","24096","24096"
"4251","0.2528407555134611","0.14248419958005273","0.3570734982916946","24348.2","24347","24349","0.3896799697194817","0.28144376059362475","0.5227101609451573","24348.4","24347","24349","0.5056904951812002","0.22849334074072547","0.5606761051346936","24348.4","24347","24349","0.3380122135932503","0.07738818365083382","0.5566119506666648","24349","24349","24349","0.4289143487563763","0.22065576938930254","0.7080857428384162","24349","24349","24349","0.47661816023508663","0.10345461172921355","0.7754904233060942","24349","24349","24349"
"4501","0.19581554718089483","0.10605369738646493","0.3618943960681629","24601.2","24600","24602","0.41841530764754575","0.3058301907356284","0.5659433765161003","24601.4","24600","24602","0.5027169679205896","0.23158914291507737","0.5711819107947801","24601.4","24600","24602","0.3493491802536899","0.05221570226541889","0.47742063254539596","24602","24602","24602","0.4317750421964166","0.23894943664807333","0.7323466745652354","24602","24602","24602","0.4658638190945966","0.09508990232266684","0.7258939948890989","24602","24602","24602"
"4751","0.2451965573314628","0.1546233359080074","0.33729833294735895","24854.2","24853","24855","0.4245546712346818","0.30915619223357527","0.5614467786896615","24854.4","24853","24855","0.5004681433425705","0.21947410938471829","0.5744471243594991","24854.4","24853","24855","0.3548960938936857","0.1256669059064828","0.6361634292255394","24855","24855","24855","0.42640789351997954","0.2384766587761792","0.7127511015024653","24855","24855","24855","0.47574936801442325","0.117078728795402","0.7909095476915938","24855","24855","24855"
