"stage2/step","Group: Danru_Complicate_cauchy - stage2/mcc_spearman","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_spearman","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_spearman","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_spearman","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_spearman","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Danru_Simple_gauss - stage2/mcc_spearman","Group: Danru_Simple_gauss - stage2/mcc_spearman__MIN","Group: Danru_Simple_gauss - stage2/mcc_spearman__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX"
"1","0.24191443005622046","0.16072686792576574","0.29187651920621016","20047.2","20046","20048","0.463598562104827","0.42414107700700426","0.5052253827881014","20047.4","20046","20048","0.48452529740358086","0.4209547816843477","0.5304540548924033","20047.4","20046","20048","0.4314976984388208","0.280526437638932","0.5686869034817751","20048","20048","20048","0.5759169576798441","0.49482605329443446","0.707932523812918","20048","20048","20048","0.6064907139695559","0.5292403135552007","0.7211268004348161","20048","20048","20048"
"251","0.241670337512823","0.1817087645438111","0.2855532269883269","20300.2","20299","20301","0.4023205029308481","0.324890658029062","0.49388627486106396","20300.4","20299","20301","0.4308024002033883","0.33891255414572","0.521398792870879","20300.4","20299","20301","0.4315864132004714","0.2664383093897487","0.5509841606419403","20301","20301","20301","0.5232397711464701","0.15803789892327957","0.6290704235761754","20301","20301","20301","0.5352532230232806","0.09083319495931985","0.6374813986434616","20301","20301","20301"
"501","0.2475740727573902","0.1786263490876156","0.2925572573225013","20553.2","20552","20554","0.38168657788833327","0.31396295046191536","0.4754233875025468","20553.4","20552","20554","0.41391943317373536","0.26635610747643323","0.5027561933868443","20553.4","20552","20554","0.4386494320046183","0.31211749695194496","0.5153157227330388","20554","20554","20554","0.5056835729609275","0.13131122342339482","0.6366662733715386","20554","20554","20554","0.5021674820557982","0.11711537193840225","0.6444160899440193","20554","20554","20554"
"751","0.23272828049294542","0.15142636999748058","0.28925397612035436","20806.2","20805","20807","0.3739999595106015","0.30336778340445514","0.4675257133315238","20806.4","20805","20807","0.4106663773605588","0.25739986202720316","0.5006188380499597","20806.4","20805","20807","0.4555314417926265","0.3225650178460773","0.5593097921996207","20807","20807","20807","0.49636802787236034","0.13845981547747496","0.6324551488408092","20807","20807","20807","0.5028706352807744","0.118160189662966","0.6603744011289187","20807","20807","20807"
"1001","0.23879300168144985","0.1837853078047903","0.2843307467842762","21059.2","21058","21060","0.36667473508060855","0.30632883235469544","0.4555632401547274","21059.4","21058","21060","0.40805697695747145","0.250594788338687","0.4923881023148507","21059.4","21058","21060","0.44735422672871106","0.195363203864965","0.5472503249162456","21060","21060","21060","0.48960165304506775","0.11923834825232354","0.6377749433090373","21060","21060","21060","0.4906506765347721","0.12286655943578116","0.6620616144402082","21060","21060","21060"
"1251","0.22826525774589781","0.10109676950474829","0.28844586800127603","21312.2","21311","21313","0.36500016695611526","0.2979678194657732","0.4672763066142081","21312.4","21311","21313","0.41130023117726155","0.23440171900677348","0.5375994933245392","21312.4","21311","21313","0.4360416381721831","0.29392235586446963","0.5306613848893578","21313","21313","21313","0.486585848214162","0.1169286007190183","0.6352933508874069","21313","21313","21313","0.4910935371490088","0.09963316481085628","0.6638810528820035","21313","21313","21313"
"1501","0.24618638234569162","0.17631031269190617","0.2989684328429739","21565.2","21564","21566","0.36260497740068","0.3007378890325611","0.46554806815487587","21565.4","21564","21566","0.42096870516559715","0.24384271538986874","0.5307149372944809","21565.4","21564","21566","0.4481831265380721","0.2904967905696933","0.559312919962744","21566","21566","21566","0.4878272188975089","0.13729287870224363","0.63190070499739","21566","21566","21566","0.49237122966514396","0.0983350850584249","0.6658526556247305","21566","21566","21566"
"1751","0.2419693401948298","0.17454349129856594","0.2937579119403535","21818.2","21817","21819","0.3610081669014305","0.2925918667981238","0.4604856669109135","21818.4","21817","21819","0.4306229444913095","0.24123783766829576","0.5285260024778604","21818.4","21817","21819","0.449520055843932","0.29192772773256626","0.5993500048268249","21819","21819","21819","0.4850774363603955","0.1112245149004184","0.6519220147036151","21819","21819","21819","0.49444876242945257","0.09843791210941098","0.6627980042536662","21819","21819","21819"
"2001","0.23110275737133223","0.10958495183066963","0.2987164552191522","22071.2","22070","22072","0.3615396835948034","0.2946264292693319","0.4784379157690686","22071.4","22070","22072","0.4434021483715411","0.23430172484354528","0.5262758197865994","22071.4","22070","22072","0.4493678945403615","0.25852011558303545","0.5597283842332751","22072","22072","22072","0.4820116530854771","0.11698112229034778","0.6429720970496238","22072","22072","22072","0.4934648806803052","0.09785947841892302","0.667841680881935","22072","22072","22072"
"2251","0.23314574765975707","0.11325287369628705","0.2947636177415241","22324.2","22323","22325","0.36802184616415856","0.30181426205254747","0.529121244996273","22324.4","22323","22325","0.45262598955609407","0.2327756283971913","0.535264438235241","22324.4","22323","22325","0.4226162611791479","0.30997887476164426","0.5587680627417972","22325","22325","22325","0.48031332705584473","0.10995589705569919","0.6375355223656215","22325","22325","22325","0.49401680305839213","0.09017855539066051","0.6665230059114163","22325","22325","22325"
