"stage1/step","Group: Ours_trunc_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_trunc_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_trunc_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_trunc_Complicate_cauchy - _step","Group: Ours_trunc_Complicate_cauchy - _step__MIN","Group: Ours_trunc_Complicate_cauchy - _step__MAX","Group: Ours_trunc_Simple_cauchy - stage1/mcc_pearson","Group: Ours_trunc_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_trunc_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_trunc_Simple_cauchy - _step","Group: Ours_trunc_Simple_cauchy - _step__MIN","Group: Ours_trunc_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gauss - stage1/mcc_pearson","Group: Ours_Complicate_gauss - stage1/mcc_pearson__MIN","Group: Ours_Complicate_gauss - stage1/mcc_pearson__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_pearson","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gumbel - stage1/mcc_pearson","Group: Ours_Complicate_gumbel - stage1/mcc_pearson__MIN","Group: Ours_Complicate_gumbel - stage1/mcc_pearson__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX","Group: Ours_Simple_gauss - stage1/mcc_pearson","Group: Ours_Simple_gauss - stage1/mcc_pearson__MIN","Group: Ours_Simple_gauss - stage1/mcc_pearson__MAX","Group: Ours_Simple_gauss - _step","Group: Ours_Simple_gauss - _step__MIN","Group: Ours_Simple_gauss - _step__MAX","Group: Ours_Simple_gumbel - stage1/mcc_pearson","Group: Ours_Simple_gumbel - stage1/mcc_pearson__MIN","Group: Ours_Simple_gumbel - stage1/mcc_pearson__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"1","0.3768436508175871","0.3245223791597623","0.42113857757251943","4","4","4","0.4886694630523995","0.3773309527294329","0.69702624543022","4","4","4","0.40675291018936194","0.37427941225601047","0.4458393131140026","4","4","4","0.5364303567622061","0.4062723349428005","0.6560331878627942","4","4","4","0.4226035042040692","0.3757906954156957","0.5025846771490727","4","4","4","0.364679317226465","0.2635211405670165","0.4433212236299459","4","4","4","0.49693522286978553","0.3676826547865137","0.7686720581937948","4","4","4","0.6235881579074353","0.4934143527621717","0.8166848148335409","4","4","4"
"251","0.478975534429285","0.45164181012411","0.5345448412063842","505","505","505","0.724593121325264","0.5902703232289278","0.8337090856101909","505","505","505","0.5041993366130707","0.45448413666501086","0.556587835287724","505","505","505","0.5499747335154588","0.3428017509168216","0.6783131121498429","505","505","505","0.5263392352439955","0.48947187477591514","0.5735098138924113","505","505","505","0.42582422983361806","0.3042280265435301","0.5288099530081389","505","505","505","0.7515431587360133","0.6378331395183688","0.9303352134018188","505","505","505","0.7700227238345997","0.6280021485162436","0.8961369531918598","505","505","505"
"501","0.5043490733668551","0.46831375916786433","0.5427454819114873","1006","1006","1006","0.7721020082533379","0.6424637331203078","0.8926913865355429","1006","1006","1006","0.5064109905654929","0.4416358833360577","0.5626137150874283","1006","1006","1006","0.6156712260095135","0.45646270307161646","0.8079023026875504","1006","1006","1006","0.5363440712077554","0.5123763821872804","0.5817159764571931","1006","1006","1006","0.37009023244301464","0.18055489826336618","0.5255726954492217","1006","1006","1006","0.7522594355063922","0.6345087100195416","0.9343964038551839","1006","1006","1006","0.7644787997406495","0.6198302581548129","0.8940055930333131","1006","1006","1006"
"751","0.5144062182389955","0.46896334733258593","0.5486412128633724","1507","1507","1507","0.7725065481998084","0.6424599829709455","0.8889503818438446","1507","1507","1507","0.510771996209246","0.458972294851047","0.5642819499264088","1507","1507","1507","0.7098127250460583","0.43634893313748463","0.8380667753265615","1507","1507","1507","0.5400148106933347","0.5089490852444334","0.5906197971653826","1507","1507","1507","0.3828762493437154","0.21922602908029595","0.4756941940271802","1507","1507","1507","0.7518315537664393","0.6300318186912778","0.9345909080329581","1507","1507","1507","0.7680919796025746","0.6283148278311611","0.8966489168340895","1507","1507","1507"
"1001","0.5187118131134604","0.47571286728594614","0.5498789355365801","2008","2008","2008","0.773180296804743","0.6388891673081235","0.8899739243586443","2008","2008","2008","0.5142995441016013","0.46652346093452657","0.5661580409531428","2008","2008","2008","0.599668846274626","0.44622366086135895","0.7219256033637959","2008","2008","2008","0.541711934423641","0.5185264659905913","0.5887425938287443","2008","2008","2008","0.4669139628760982","0.3577029578417958","0.589707292957523","2008","2008","2008","0.7514023225789587","0.6407775123630014","0.933563814229263","2008","2008","2008","0.7657162349376436","0.6195478958984973","0.8970513835549244","2008","2008","2008"
"1251","0.5212804747505265","0.4803233518220922","0.5557184226083411","2509","2509","2509","0.7731876707308498","0.6407603795962259","0.8900750061198327","2509","2509","2509","0.5153049965587295","0.464456991579446","0.5687391025565788","2509","2509","2509","0.6880050521542523","0.5975475188964211","0.7838816312579086","2509","2509","2509","0.5437879381388256","0.5252966299018144","0.590465592226402","2509","2509","2509","0.44060774931060476","0.10516381707506503","0.6122900201152816","2509","2509","2509","0.7506933098399954","0.633368331531563","0.9365962566685275","2509","2509","2509","0.7665340652782467","0.6203323219075113","0.8981370640983464","2509","2509","2509"
"1501","0.5228338563102476","0.48343724183445336","0.5530101389410065","3010","3010","3010","0.7747083771825343","0.6453473488053025","0.8902445576556534","3010","3010","3010","0.5191113764437779","0.4784437762363245","0.5708812975801694","3010","3010","3010","0.6524901428020002","0.4562676143628864","0.7891912891468665","3010","3010","3010","0.5465571880281186","0.5259759515034143","0.5935008045922938","3010","3010","3010","0.4112484975785876","0.2877547760934257","0.5174984562494102","3010","3010","3010","0.7528986538214982","0.6431562817244107","0.935441738955426","3010","3010","3010","0.7683907531176974","0.6255679570376128","0.901028246189589","3010","3010","3010"
"1751","0.5262491789238811","0.48413502469679087","0.5552419563085411","3511","3511","3511","0.7743483395967171","0.6490996173364935","0.8900438658592519","3511","3511","3511","0.5200255019662229","0.4777926969420673","0.5759650279400013","3511","3511","3511","0.685722379987773","0.5453735610799278","0.8746444848337213","3511","3511","3511","0.545230323193225","0.5247194093566613","0.5926924789762741","3511","3511","3511","0.3986908153597032","0.12491099291613397","0.5789148224145713","3511","3511","3511","0.7529962796330406","0.6361744620455909","0.9323938046082096","3511","3511","3511","0.7670575617895","0.6147838005221936","0.9021259860714306","3511","3511","3511"
"2001","0.5273480047876087","0.4810381233861623","0.5560609205416379","4012","4012","4012","0.7735955242200508","0.6455716854429873","0.8915158673510623","4012","4012","4012","0.5223793250506784","0.4830730267145234","0.5734196555092309","4012","4012","4012","0.6373996915735436","0.38878978001343206","0.8130514030374568","4012","4012","4012","0.5492088612251178","0.5305675830226254","0.5943527322191906","4012","4012","4012","0.44551705953200377","0.19767990326898813","0.5889623954196285","4012","4012","4012","0.7515519881829726","0.6380416144055682","0.9336379659850164","4012","4012","4012","0.7689075681189159","0.626322967628118","0.901580321597638","4012","4012","4012"
"2251","0.5273957989937215","0.4851822888911266","0.5570128656649218","4513","4513","4513","0.7749003021593963","0.6429358631643711","0.8885913781476725","4513","4513","4513","0.5241695068579519","0.4872098311502767","0.5808576790807958","4513","4513","4513","0.6358015430786431","0.4692537303743731","0.7807155473356818","4513","4513","4513","0.5503549981046051","0.5313142091294816","0.601789462818084","4513","4513","4513","0.4577802475712141","0.24955549965760673","0.5228644888511617","4513","4513","4513","0.7530008081495322","0.6330237388046744","0.936030593550707","4513","4513","4513","0.7684751551424703","0.6184588346065472","0.9030234296746272","4513","4513","4513"
