"stage2/step","Group: Ours_trunc_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_trunc_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_trunc_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_trunc_Complicate_cauchy - _step","Group: Ours_trunc_Complicate_cauchy - _step__MIN","Group: Ours_trunc_Complicate_cauchy - _step__MAX","Group: Ours_trunc_Simple_cauchy - stage2/mcc_spearman","Group: Ours_trunc_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_trunc_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_trunc_Simple_cauchy - _step","Group: Ours_trunc_Simple_cauchy - _step__MIN","Group: Ours_trunc_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gauss - stage2/mcc_spearman","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_spearman","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX","Group: Ours_Simple_gauss - stage2/mcc_spearman","Group: Ours_Simple_gauss - stage2/mcc_spearman__MIN","Group: Ours_Simple_gauss - stage2/mcc_spearman__MAX","Group: Ours_Simple_gauss - _step","Group: Ours_Simple_gauss - _step__MIN","Group: Ours_Simple_gauss - _step__MAX","Group: Ours_Simple_gumbel - stage2/mcc_spearman","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"1","0.4094910244297808","0.34158696137681355","0.4545464855043396","20047.2","20046","20048","0.5969161576488154","0.49103979160677075","0.6651107262528796","20048","20048","20048","0.45464662384621707","0.4107611538149688","0.5084031711497543","20047.2","20046","20048","0.5724568325099683","0.46159430509365","0.6449794246640632","20048","20048","20048","0.4629676270896438","0.4256715994028474","0.49316464064728577","20047.2","20046","20048","0.3700257324858235","0.34580960921877274","0.40188923127522047","20047.2","20046","20048","0.6321657189880804","0.572282368728069","0.6935866290324101","20048","20048","20048","0.6209731523189984","0.5359214868453115","0.7198152965743744","20048","20048","20048"
"251","0.4295406086541095","0.4122919845385235","0.45298226094192806","20300.2","20299","20301","0.6061598988547972","0.5428684951040204","0.6636743859127608","20301","20301","20301","0.5001963964465908","0.44082140173884554","0.5400408542281274","20300.2","20299","20301","0.5911426458526959","0.45291575079214813","0.6464759338368659","20301","20301","20301","0.4985993436964408","0.47099099015862944","0.5457432108450411","20300.2","20299","20301","0.3984726680647056","0.36954532112888094","0.43187143500361946","20300.2","20299","20301","0.7345392351821932","0.6571612551296094","0.8075745758672936","20301","20301","20301","0.6575192132600608","0.5699963206510201","0.7579916945175231","20301","20301","20301"
"501","0.45226254491327744","0.418466271443633","0.48915457215091873","20553.2","20552","20554","0.6311477275873573","0.5876351135692192","0.6818419194364701","20554","20554","20554","0.5174133778053249","0.46234155917100644","0.5874941027887662","20553.2","20552","20554","0.6071222474556046","0.5732542818044258","0.6508760911851511","20554","20554","20554","0.5085182905811971","0.4571858370161633","0.5766235424714834","20553.2","20552","20554","0.41570022460296724","0.3700590321106608","0.46100515699412004","20553.2","20552","20554","0.7788895408406417","0.7257686582204382","0.8208230101140682","20554","20554","20554","0.7079151672232304","0.6132604693446367","0.7986596665695259","20554","20554","20554"
"751","0.4505211973139206","0.4159427362210214","0.4962375611099654","20806.2","20805","20807","0.6529905519822543","0.6056674887123051","0.6900836796065449","20807","20807","20807","0.5311388868453506","0.46806630116439274","0.6156246038907466","20806.2","20805","20807","0.6103808675745704","0.5674566486962664","0.6677346526636286","20807","20807","20807","0.5228287360081307","0.4683278339815821","0.5936432149401438","20806.2","20805","20807","0.4278184765460775","0.38973769517323387","0.4692474972436065","20806.2","20805","20807","0.78914980276617","0.7434546888991903","0.8228714326776911","20807","20807","20807","0.7161567213368236","0.6046504908530891","0.8061679032389316","20807","20807","20807"
"1001","0.4544509481702108","0.41257410434325203","0.5185758899505648","21059.2","21058","21060","0.656888895096165","0.6071608963412698","0.6929383388798976","21060","21060","21060","0.5426895579198294","0.47457602390190806","0.6389743290065597","21059.2","21058","21060","0.6267319268216618","0.5611163308338832","0.7139647373893246","21060","21060","21060","0.5324533998927027","0.4788221774895776","0.605612148478846","21059.2","21058","21060","0.4329358974091956","0.38137122696443726","0.476612230859174","21059.2","21058","21060","0.7944807869875739","0.744350253698317","0.823431552840721","21060","21060","21060","0.7244982809069571","0.6149046636487597","0.808613778604689","21060","21060","21060"
"1251","0.4531750870832282","0.4151925910073378","0.5173167994670871","21312.2","21311","21313","0.6548886601042758","0.6084463869370426","0.6905772139954406","21313","21313","21313","0.5530494619303079","0.48244776372765896","0.6591878684160882","21312.2","21311","21313","0.6299644229609498","0.5486405178077013","0.7196204417447202","21313","21313","21313","0.546707984922379","0.4988096279535064","0.6197880650250831","21312.2","21311","21313","0.43193964967955256","0.39342198665976935","0.4857325956283166","21312.2","21311","21313","0.7969505151277192","0.7483089115788117","0.822494742616135","21313","21313","21313","0.7308269454468089","0.6210985159524124","0.8113874981316594","21313","21313","21313"
"1501","0.451457318841573","0.414152206507348","0.5164030577555077","21565.2","21564","21566","0.6553638416403247","0.6113709569163891","0.6913351976852283","21566","21566","21566","0.5606207781120712","0.4809747303179767","0.6720400051613952","21565.2","21564","21566","0.6446892426807388","0.5947075935155748","0.7269586804208298","21566","21566","21566","0.5549518563193689","0.5025268205087804","0.6264819003211611","21565.2","21564","21566","0.44306628811482884","0.40287518603273015","0.4963904414119088","21565.2","21564","21566","0.7971704244317123","0.7491084404108056","0.8226813307713687","21566","21566","21566","0.7371751664742702","0.6267093761556618","0.8114887832941063","21566","21566","21566"
"1751","0.45387282023626474","0.41657257054518554","0.5235796432008625","21818.2","21817","21819","0.656690237256485","0.6101214176823503","0.6918152438149224","21819","21819","21819","0.5662485128814563","0.4869883464547894","0.6799926749451563","21818.2","21817","21819","0.6472795518214338","0.5971187656853311","0.7332867417810317","21819","21819","21819","0.5618914707836379","0.5083674859052081","0.642730655703482","21818.2","21817","21819","0.446621434694645","0.40157325541875","0.5043152328795182","21818.2","21817","21819","0.7983625095125941","0.7528192379443355","0.8243269473064757","21819","21819","21819","0.7413071007893464","0.6364152035940963","0.8098780231386867","21819","21819","21819"
"2001","0.45232985525605984","0.4162989765452097","0.5099087172485417","22071.2","22070","22072","0.6558248209072958","0.6096023615712912","0.6924705166313597","22072","22072","22072","0.5740282086650603","0.49455039200062656","0.6912644707632896","22071.2","22070","22072","0.6512157248705158","0.5998691267403916","0.7356575520965455","22072","22072","22072","0.5700142830303182","0.5180101719579988","0.6482612559022967","22071.2","22070","22072","0.44589316469976925","0.3972044586143631","0.4891286207355986","22071.2","22070","22072","0.7981401255506706","0.7580290784182119","0.820482956185741","22072","22072","22072","0.7467216714639879","0.634727583191789","0.8119954147097571","22072","22072","22072"
"2251","0.45283279356680345","0.41127458248596865","0.5178815228423324","22324.2","22323","22325","0.6556925897438614","0.6072942074858348","0.6914617239409737","22325","22325","22325","0.5802125513711777","0.5004813396219341","0.7054561075794928","22324.2","22323","22325","0.6475996842224943","0.5897871976770156","0.7397550144676789","22325","22325","22325","0.5764194171381312","0.5223216358194993","0.6520732130657654","22324.2","22323","22325","0.45994091721022007","0.4097839687338108","0.5041766307275898","22324.2","22323","22325","0.798612617367917","0.7612247517979487","0.8217018981286337","22325","22325","22325","0.7519426164683056","0.6386480943922197","0.8118901341017528","22325","22325","22325"
"2501","0.45177060613099557","0.41299232735944036","0.5128724366501369","22577.2","22576","22578","0.656442357707316","0.609963848234336","0.692242850811147","22578","22578","22578","0.5850901842765934","0.5003607459385492","0.7057290062782772","22577.2","22576","22578","0.6470476013158084","0.5687698122969799","0.742135955821618","22578","22578","22578","0.583785205756777","0.5277083924004714","0.6646416961641347","22577.2","22576","22578","0.466564322216448","0.41269599955787434","0.5150579179732392","22577.2","22576","22578","0.7988167155232121","0.7622444421880044","0.8235243043020583","22578","22578","22578","0.7570296403691453","0.6352673831391593","0.8108685936614829","22578","22578","22578"
"2751","0.45204643856494026","0.4185058804866414","0.5142759472523837","22830.2","22829","22831","0.6560749821966215","0.609545019341973","0.6936797934343163","22831","22831","22831","0.5896478053522785","0.5010958130322815","0.7139090645832712","22830.2","22829","22831","0.6307672924055998","0.5340028223300809","0.7494553613178508","22831","22831","22831","0.5909358912545487","0.5350537095331823","0.672896977110887","22830.2","22829","22831","0.4670718462546926","0.4239199451232302","0.523566568158767","22830.2","22829","22831","0.7983463135538347","0.7637011029739466","0.8218637874199394","22831","22831","22831","0.7615528653991048","0.6374077493461265","0.8119120678802229","22831","22831","22831"
"3001","0.453233899195141","0.4179564710991783","0.5116789553372201","23083.2","23082","23084","0.6564380495323305","0.6095804903404392","0.6960634986148078","23084","23084","23084","0.5949699565951407","0.5043776167620293","0.7205483103394841","23083.2","23082","23084","0.6435384269695381","0.553912269260236","0.7489788128413645","23084","23084","23084","0.5951775474809822","0.5342555096518284","0.6785546809003524","23083.2","23082","23084","0.4623058107827923","0.41596174582816553","0.5227532996420343","23083.2","23082","23084","0.7985514615735356","0.7627478774773729","0.8214757578804569","23084","23084","23084","0.7643272782440861","0.6391635270302248","0.8148630479774314","23084","23084","23084"
"3251","0.453496787168879","0.4148938635569269","0.5197091612977405","23336.2","23335","23337","0.6551056581571311","0.6086438905579312","0.6937496050578894","23337","23337","23337","0.5991199403922526","0.5072851425230545","0.731461220320391","23336.2","23335","23337","0.6495300813758467","0.571064960546602","0.7548683669633584","23337","23337","23337","0.6012955350265633","0.5389726283192955","0.6827837697397453","23336.2","23335","23337","0.4707236729816218","0.392108623259701","0.5336034484832044","23336.2","23335","23337","0.7987829117453088","0.7626244276190058","0.8227903856989313","23337","23337","23337","0.768727311372311","0.6444650519850238","0.8130801300900318","23337","23337","23337"
