"stage1/step","Group: VaDE_Complicate_gauss - stage1/mcc_pearson","Group: VaDE_Complicate_gauss - stage1/mcc_pearson__MIN","Group: VaDE_Complicate_gauss - stage1/mcc_pearson__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: VaDE_Complicate_gumbel - stage1/mcc_pearson","Group: VaDE_Complicate_gumbel - stage1/mcc_pearson__MIN","Group: VaDE_Complicate_gumbel - stage1/mcc_pearson__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: VaDE_Complicate_cauchy - stage1/mcc_pearson","Group: VaDE_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: VaDE_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: VaDE_Simple_gauss - stage1/mcc_pearson","Group: VaDE_Simple_gauss - stage1/mcc_pearson__MIN","Group: VaDE_Simple_gauss - stage1/mcc_pearson__MAX","Group: VaDE_Simple_gauss - _step","Group: VaDE_Simple_gauss - _step__MIN","Group: VaDE_Simple_gauss - _step__MAX","Group: VaDE_Simple_gumbel - stage1/mcc_pearson","Group: VaDE_Simple_gumbel - stage1/mcc_pearson__MIN","Group: VaDE_Simple_gumbel - stage1/mcc_pearson__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: VaDE_Simple_cauchy - stage1/mcc_pearson","Group: VaDE_Simple_cauchy - stage1/mcc_pearson__MIN","Group: VaDE_Simple_cauchy - stage1/mcc_pearson__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX"
"1","0.3220758078013146","0.2663512504627756","0.36439084391301485","2","2","2","0.37944973240134405","0.3178570158620825","0.4467606610665612","2","2","2","0.3543883782189782","0.1598083029149397","0.5190732037266331","2","2","2","0.4399240506466116","0.36526150467054747","0.6330287901180022","2","2","2","0.5259132730987958","0.4056381829820608","0.7426577748256049","2","2","2","0.5273497796270356","0.37303531961000536","0.6591811275397629","2","2","2"
"251","0.33759174106287015","0.2179126317300542","0.43451017247154233","253","253","253","0.35397880722016756","0.3132897863239039","0.5312617117840523","253","253","253","0.2965852698535606","0.11794563999448385","0.4904525788921822","253","253","253","0.7948758539201765","0.6012783096236131","0.9177106174671424","253","253","253","0.69510455240631","0.6440908867897622","0.7944967036609804","253","253","253","0.47605568184196023","0.37540005086455713","0.6452084399796739","253","253","253"
"501","0.4712217301498206","0.35682401855209","0.5634161197016906","504","504","504","0.4746943013980099","0.3979303201379069","0.5463109336818632","504","504","504","0.29357955348724185","0.16781754132835033","0.4062693182653083","504","504","504","0.8324302922901804","0.6601184203006641","0.9769009911788241","504","504","504","0.7949179680266549","0.7214172038425524","0.8835731528492533","504","504","504","0.46955480000563093","0.3402364932663718","0.6897084240517514","504","504","504"
"751","0.5180208262284082","0.41791847184264597","0.6070169117785543","755","755","755","0.5080706933240375","0.4329788446015444","0.5817470059576373","755","755","755","0.2962304762061566","0.19360333388638243","0.3660560347476872","755","755","755","0.8544101549469081","0.6739150974150562","0.98331418344245","755","755","755","0.7868052525471673","0.6465681075908029","0.9675222464155208","755","755","755","0.4799789837494816","0.3535442282218113","0.6108732572418829","755","755","755"
"1001","0.5433407076795393","0.4960581540560239","0.6250378735466495","1006","1006","1006","0.5285386048808625","0.4483149792240383","0.5866231095947","1006","1006","1006","0.25056383588578424","0.11977660570379318","0.3673968023366124","1006","1006","1006","0.8306530644241225","0.5534214750565342","0.9861707672363808","1006","1006","1006","0.8068037587363494","0.7112868248595933","0.9519631083327353","1006","1006","1006","0.5078171922985778","0.42373404751235516","0.5858742942310124","1006","1006","1006"
"1251","0.5522456283719509","0.5145303076274315","0.6050858204106436","1257","1257","1257","0.5392369654482434","0.4753246017858855","0.6032715396426911","1257","1257","1257","0.2962048871773756","0.14514462176099416","0.44787615172114925","1257","1257","1257","0.8575644972839693","0.7572984605839773","0.93920925270067","1257","1257","1257","0.7993316491331501","0.7225103821342204","0.928345733876253","1257","1257","1257","0.504642383216088","0.33909672425802","0.657167640495198","1257","1257","1257"
"1501","0.5583702499172045","0.5137365788784235","0.6394117250442172","1508","1508","1508","0.5473124948079506","0.4766860890537058","0.6025587336820996","1508","1508","1508","0.22163567561885947","0.1188544969556673","0.313248807209553","1508","1508","1508","0.8470510021569415","0.621535260251954","0.9744254079567085","1508","1508","1508","0.7879389756025473","0.7111869275656372","0.9460046906589188","1508","1508","1508","0.5068725343654756","0.3919598676767924","0.6025077841760592","1508","1508","1508"
"1751","0.5578030573418488","0.513921665138474","0.6414473817829005","1759","1759","1759","0.5496637305079322","0.4881911367886455","0.6047728512602013","1759","1759","1759","0.23950366454469077","0.11421867810036965","0.5200007262444324","1759","1759","1759","0.8266871758253714","0.6552980634255189","0.9675605900579435","1759","1759","1759","0.7891922007088394","0.699603262711487","0.9255664570608211","1759","1759","1759","0.5146208257730603","0.3367781510342415","0.6416523571838277","1759","1759","1759"
"2001","0.5672011057657709","0.5154970521493276","0.6282461292661263","2010","2010","2010","0.5563941979284055","0.49038727378403557","0.6119917183210524","2010","2010","2010","0.21274127390742398","0.10138308520937664","0.3428791513475012","2010","2010","2010","0.8268201113425248","0.6783398726500729","0.9591058595559484","2010","2010","2010","0.7875537721786497","0.6924180882500156","0.955780468262364","2010","2010","2010","0.5182599060810064","0.3055270286956849","0.635625756537082","2010","2010","2010"
"2251","0.5622982181194697","0.5217239866132627","0.6351521940306607","2261","2261","2261","0.5589849774995861","0.49096380154361496","0.6199497305625276","2261","2261","2261","0.22850821048376396","0.12171804328174393","0.39739369505739125","2261","2261","2261","0.8505291831561597","0.7521144558218937","0.9669534588148427","2261","2261","2261","0.7697481400276043","0.6075863833308847","0.9774309384005532","2261","2261","2261","0.4653295945769641","0.3838132379314991","0.5454760207106185","2261","2261","2261"
"2501","0.5623729493908807","0.5143916773902492","0.6346835308182515","2512","2512","2512","0.5558255589193565","0.49636452469138315","0.6064258317334803","2512","2512","2512","0.20168383526981576","0.13839489935847818","0.30141269453428265","2512","2512","2512","0.860276833734393","0.746171618918558","0.9503662238245552","2512","2512","2512","0.7786358476009371","0.4518807292053338","0.974127673795245","2512","2512","2512","0.46565958975617167","0.34979372583613727","0.5603096103666745","2512","2512","2512"
"2751","0.5600154717493143","0.5135460000579462","0.6342719308067577","2763","2763","2763","0.5574213715588113","0.49596178246072437","0.6199807844727699","2763","2763","2763","0.20310647620991248","0.13791594286182413","0.3156848542565211","2763","2763","2763","0.8615945250969151","0.7559628573526705","0.9573651427872701","2763","2763","2763","0.7634012705333143","0.5668107200075864","0.9043178432801806","2763","2763","2763","0.47231993648748444","0.19512087273250758","0.5910053241445213","2763","2763","2763"
"3001","0.5655544778676111","0.5133598088604352","0.6393962134454112","3014","3014","3014","0.562891271671407","0.5000748992650311","0.6172776944616067","3014","3014","3014","0.20637572934928056","0.11192028247837674","0.29532350416527636","3014","3014","3014","0.7956773867932888","0.7079234834416647","0.9491902948739673","3014","3014","3014","0.7985200149561852","0.7208638651133908","0.9633250715622919","3014","3014","3014","0.44070801093707973","0.29615236386003857","0.5800588666990508","3014","3014","3014"
"3251","0.5615262194712962","0.50871048212865","0.6329405803262633","3265","3265","3265","0.5619606509418626","0.4808986115306113","0.6210364728594036","3265","3265","3265","0.21185798938858674","0.1577387927034609","0.3450435928264003","3265","3265","3265","0.8587988339753624","0.7689933678574651","0.9561866688201657","3265","3265","3265","0.7851141304641513","0.6997024031529416","0.9610102458045175","3265","3265","3265","0.4095069054475555","0.21653853908350928","0.6722589715697221","3265","3265","3265"
"3501","0.5642231726564495","0.5131258796799301","0.6410679516307336","3516","3516","3516","0.5657618087361589","0.501477420575094","0.6238712052261575","3516","3516","3516","0.21155267747221135","0.14791229838213538","0.3489474516700417","3516","3516","3516","0.8496840187615771","0.7143282050615029","0.9752608417518074","3516","3516","3516","0.7716940520285498","0.5042678537368266","0.9694593607683499","3516","3516","3516","0.457698564597025","0.37159574939410517","0.5618303105795072","3516","3516","3516"
"3751","0.5641025522004406","0.5138329450699839","0.6420300577972555","3767","3767","3767","0.5625624462029453","0.5006278233728417","0.6217133426071841","3767","3767","3767","0.24299608408698878","0.16148925765461575","0.3551273969074538","3767","3767","3767","0.8371662361313519","0.6514677894309094","0.9589898849069876","3767","3767","3767","0.7503514069316752","0.5617472231670227","0.9668004187564883","3767","3767","3767","0.4422570824213031","0.31687538719496305","0.6381262755905502","3767","3767","3767"
"4001","0.563762661485567","0.5132820461602101","0.6379282496888368","4018","4018","4018","0.5656095332067049","0.4986214072407842","0.6230106786678113","4018","4018","4018","0.23828985550316806","0.12168430895810442","0.36169714885189824","4018","4018","4018","0.813747010622453","0.6931814697144537","0.9493653361528009","4018","4018","4018","0.7949308950561516","0.7206196235389534","0.9550093276734798","4018","4018","4018","0.48636531172371883","0.33722558240954137","0.6330055000053877","4018","4018","4018"
"4251","0.565445792020892","0.5167704800084059","0.6376791553106755","4269","4269","4269","0.5662682401337726","0.5089448553986957","0.6231737189908071","4269","4269","4269","0.23223999613189078","0.12043785843450203","0.3188327569253406","4269","4269","4269","0.8431735259143041","0.6484393850432565","0.9590702353801088","4269","4269","4269","0.7582763121472638","0.6132019274454347","0.957778143396237","4269","4269","4269","0.4421231844545491","0.2714522966954332","0.6606266363859845","4269","4269","4269"
