"stage1/step","Group: VaDE_Complicate_gauss - stage1/mcc_spearman","Group: VaDE_Complicate_gauss - stage1/mcc_spearman__MIN","Group: VaDE_Complicate_gauss - stage1/mcc_spearman__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: VaDE_Complicate_gumbel - stage1/mcc_spearman","Group: VaDE_Complicate_gumbel - stage1/mcc_spearman__MIN","Group: VaDE_Complicate_gumbel - stage1/mcc_spearman__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: VaDE_Complicate_cauchy - stage1/mcc_spearman","Group: VaDE_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: VaDE_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: VaDE_Simple_gauss - stage1/mcc_spearman","Group: VaDE_Simple_gauss - stage1/mcc_spearman__MIN","Group: VaDE_Simple_gauss - stage1/mcc_spearman__MAX","Group: VaDE_Simple_gauss - _step","Group: VaDE_Simple_gauss - _step__MIN","Group: VaDE_Simple_gauss - _step__MAX","Group: VaDE_Simple_gumbel - stage1/mcc_spearman","Group: VaDE_Simple_gumbel - stage1/mcc_spearman__MIN","Group: VaDE_Simple_gumbel - stage1/mcc_spearman__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: VaDE_Simple_cauchy - stage1/mcc_spearman","Group: VaDE_Simple_cauchy - stage1/mcc_spearman__MIN","Group: VaDE_Simple_cauchy - stage1/mcc_spearman__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX"
"1","0.2938445838606607","0.23890243222990387","0.3353549186309689","2","2","2","0.33901159930352465","0.28109516936611","0.3936747646607536","2","2","2","0.233543978426605","0.20891565709664026","0.2711122821175196","2","2","2","0.42920454089837295","0.35921969289573874","0.518655699570237","2","2","2","0.49231489944245865","0.3991280886194178","0.574094585817892","2","2","2","0.4159068906076503","0.30895889320891573","0.553735484481782","2","2","2"
"251","0.3004835556560583","0.1912738740338124","0.3828478957022853","253","253","253","0.3100699952816075","0.2710292818832506","0.4674630100046949","253","253","253","0.24335104324004733","0.15605497382701913","0.3133097368310593","253","253","253","0.6762532865300612","0.5345932522277596","0.7600139630807591","253","253","253","0.6196172518012586","0.5067179017370099","0.648266123706258","253","253","253","0.5648807350783508","0.5497573828661777","0.5880928827173477","253","253","253"
"501","0.4204635338085249","0.324868599710224","0.49490235575063696","504","504","504","0.4143199554584445","0.35797038889021404","0.47769007314005735","504","504","504","0.24285846855437146","0.1545319426781198","0.31626495365715324","504","504","504","0.7026816843403012","0.616766080488896","0.7872562032972491","504","504","504","0.6795044886373673","0.5954522506687713","0.7350710493884205","504","504","504","0.5561962412652848","0.5166201324570948","0.5948789363151683","504","504","504"
"751","0.46128203027896175","0.3844367030346213","0.5381568684789342","755","755","755","0.4473647145939945","0.3794096334238525","0.5128648011045213","755","755","755","0.2522495709640497","0.20246144694148338","0.3094709231457889","755","755","755","0.7169661646749195","0.622664741337761","0.7988501051783561","755","755","755","0.6802167269260282","0.6429809751511213","0.7816297964848937","755","755","755","0.5383431752455669","0.4518044015103648","0.5740183285376825","755","755","755"
"1001","0.48339233088175637","0.446288216681819","0.5553856835051715","1006","1006","1006","0.46625349345879","0.3928550688452058","0.5148103667568199","1006","1006","1006","0.24690745469449996","0.17231445867885642","0.3066611182395103","1006","1006","1006","0.6967800401673873","0.5276505618607855","0.8022592595138711","1006","1006","1006","0.6854478531416122","0.6182020048351293","0.7690248911175819","1006","1006","1006","0.5474849346776814","0.4910816699588432","0.6104496188616683","1006","1006","1006"
"1251","0.49237423680481707","0.463726574533434","0.5472195840564752","1257","1257","1257","0.4772828643338861","0.41114314187516465","0.5212482192049117","1257","1257","1257","0.2424249175716521","0.17342548673233515","0.31339979542624985","1257","1257","1257","0.7225580199452304","0.6560248446812046","0.7661519470719812","1257","1257","1257","0.682175893078055","0.6445493634538472","0.7543243271451141","1257","1257","1257","0.5520464966135032","0.5199760189196905","0.5952287158766222","1257","1257","1257"
"1501","0.49588791518917813","0.45422763670067334","0.5666820548932155","1508","1508","1508","0.48632419812039185","0.4203622486630495","0.5298094914826719","1508","1508","1508","0.24330480450401196","0.19122727145663568","0.3002863674845681","1508","1508","1508","0.7067504238471292","0.5738531636802492","0.7929657606365293","1508","1508","1508","0.6749523138758582","0.6297678245182188","0.7290539825009583","1508","1508","1508","0.5328091761856087","0.4373725444390633","0.5707252692765539","1508","1508","1508"
"1751","0.4948702143687204","0.45092923906196003","0.5647044599822073","1759","1759","1759","0.4882884497340492","0.42949329905443345","0.5399965114614209","1759","1759","1759","0.24393927211808702","0.19046084650486184","0.29943170706789585","1759","1759","1759","0.6925653946315063","0.5463050612610256","0.7918142422990121","1759","1759","1759","0.6750587522523068","0.620205815184133","0.7685253013916608","1759","1759","1759","0.5219341474232294","0.42006084042068687","0.5813426362786905","1759","1759","1759"
"2001","0.5048521495257896","0.4565369421923716","0.556774136498528","2010","2010","2010","0.4933316045329671","0.44595993530140277","0.5397626323043884","2010","2010","2010","0.24447429391870198","0.17349640387912757","0.30381775575307135","2010","2010","2010","0.6796289308770274","0.5189712442852876","0.7892352635985308","2010","2010","2010","0.6797315848852682","0.6041045180464842","0.7696692764920949","2010","2010","2010","0.5142090815938495","0.43795333316379553","0.5656081364469029","2010","2010","2010"
"2251","0.4989134609500162","0.455703166555511","0.5599338064727821","2261","2261","2261","0.49629349481425666","0.4405596129607581","0.5423450430713073","2261","2261","2261","0.23770930264004497","0.16663670937606617","0.30513780183410005","2261","2261","2261","0.7126094738669458","0.6183029308062516","0.785365240617355","2261","2261","2261","0.6761110350417285","0.59918810444201","0.8029197603504749","2261","2261","2261","0.5228329865759425","0.4474940344927186","0.5897589462146696","2261","2261","2261"
