"stage2/step","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_cauchy - stage2/mcc_pearson","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"1","0.26130473438281654","0.11205291392042172","0.4132006219078438","10047","10047","10047","0.22050371973299132","0.12535679201887268","0.3505571189554019","20047.2","20046","20048","0.451830019179752","0.25398531683424014","0.5757722437133073","20047.2","20046","20048"
"251","0.2444310093036846","0","0.39858987156215797","10300","10300","10300","0.22127856376764413","0.15642284870621115","0.3068265481458427","20300.2","20299","20301","0.48142339759102726","0.285216334362103","0.5856626243243543","20300.2","20299","20301"
"501","0.23598940212655992","0","0.3745530548073236","10553","10553","10553","0.24550301038514957","0.12396304296463005","0.4020448078309135","20553.2","20552","20554","0.4439924986265312","0.11302142542438895","0.6418572378318195","20553.2","20552","20554"
"751","0.28552977792838047","0","0.4776394446404179","10806","10806","10806","0.19421940112601255","0.10444053973046277","0.3007762505849049","20806.2","20805","20807","0.5121267724858429","0.23247888642092057","0.6227467449709039","20806.2","20805","20807"
"1001","0.21582400196845372","0","0.4290009097161314","11059","11059","11059","0.18971760067954724","0.10133200943604863","0.3010140228866887","21059.2","21058","21060","0.4885733360836535","0.3147160555146705","0.6298521017622073","21059.2","21058","21060"
"1251","0.1727737075134066","0","0.3509044631818653","11312","11312","11312","0.21145210906216727","0.13625038550423474","0.3429367333839185","21312.2","21311","21313","0.4815036071701468","0.3392583987140806","0.6119513019366333","21312.2","21311","21313"
"1501","0.12367071540273913","0","0.35756025658775065","11565","11565","11565","0.2509792785338028","0.07625557218245092","0.4217555901783239","21565.2","21564","21566","0.45025953857503287","0.30540194721874664","0.5984096109741984","21565.2","21564","21566"
"1751","0.11087066790180536","0","0.39809506851473964","11818","11818","11818","0.24916598973646392","0.183489152187637","0.3665960889787515","21818.2","21817","21819","0.4752028042283608","0.1795645511153333","0.5842988078433506","21818.2","21817","21819"
"2001","0.1014014626453773","0","0.3351258655965212","12071","12071","12071","0.21134372956282102","0.10639981662425466","0.30132583195700346","22071.2","22070","22072","0.5254856327754694","0.45049769134391215","0.6141860289888486","22071.2","22070","22072"
"2251","0.14321165596631874","0","0.45965941919474995","12324","12324","12324","0.2479247750351446","0.15850736097318355","0.3230058518711647","22324.2","22323","22325","0.5099417052694235","0.41141922607139014","0.5791217601067846","22324.2","22323","22325"
