"stage2/step","Group: VaDE_Complicate_cauchy - stage2/mcc_spearman","Group: VaDE_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_cauchy - stage2/mcc_spearman","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"1","0.22385529715193067","0.13353394643718336","0.26191856475194497","10047","10047","10047","0.24191443005622046","0.16072686792576574","0.29187651920621016","20047.2","20046","20048","0.3700257324858235","0.34580960921877274","0.40188923127522047","20047.2","20046","20048"
"251","0.20706681370025964","0","0.28309650768534844","10300","10300","10300","0.241670337512823","0.1817087645438111","0.2855532269883269","20300.2","20299","20301","0.3984726680647056","0.36954532112888094","0.43187143500361946","20300.2","20299","20301"
"501","0.2036595405551073","0","0.2623530540551433","10553","10553","10553","0.2475740727573902","0.1786263490876156","0.2925572573225013","20553.2","20552","20554","0.41570022460296724","0.3700590321106608","0.46100515699412004","20553.2","20552","20554"
"751","0.20527291751280283","0","0.268727217673023","10806","10806","10806","0.23272828049294542","0.15142636999748058","0.28925397612035436","20806.2","20805","20807","0.4278184765460775","0.38973769517323387","0.4692474972436065","20806.2","20805","20807"
"1001","0.1846907344796752","0","0.2758078355430506","11059","11059","11059","0.23879300168144985","0.1837853078047903","0.2843307467842762","21059.2","21058","21060","0.4329358974091956","0.38137122696443726","0.476612230859174","21059.2","21058","21060"
"1251","0.13773204957186289","0","0.2591734265358355","11312","11312","11312","0.22826525774589781","0.10109676950474829","0.28844586800127603","21312.2","21311","21313","0.43193964967955256","0.39342198665976935","0.4857325956283166","21312.2","21311","21313"
"1501","0.12027859290395956","0","0.26374137652869706","11565","11565","11565","0.24618638234569162","0.17631031269190617","0.2989684328429739","21565.2","21564","21566","0.44306628811482884","0.40287518603273015","0.4963904414119088","21565.2","21564","21566"
"1751","0.09680464302241742","0","0.254202567481334","11818","11818","11818","0.2419693401948298","0.17454349129856594","0.2937579119403535","21818.2","21817","21819","0.446621434694645","0.40157325541875","0.5043152328795182","21818.2","21817","21819"
"2001","0.09566480156542173","0","0.2544155464434024","12071","12071","12071","0.23110275737133223","0.10958495183066963","0.2987164552191522","22071.2","22070","22072","0.44589316469976925","0.3972044586143631","0.4891286207355986","22071.2","22070","22072"
"2251","0.0951797194286855","0","0.25663945231597235","12324","12324","12324","0.23314574765975707","0.11325287369628705","0.2947636177415241","22324.2","22323","22325","0.45994091721022007","0.4097839687338108","0.5041766307275898","22324.2","22323","22325"
"2501","0.09877144300143395","0","0.26711030141950814","12577","12577","12577","0.233811150274918","0.1779951033148128","0.28822729815634757","22577.2","22576","22578","0.466564322216448","0.41269599955787434","0.5150579179732392","22577.2","22576","22578"
"2751","0.07201759804243593","0","0.25726525585143906","12830","12830","12830","0.228813074001221","0.1134275233870766","0.2943633435175431","22830.2","22829","22831","0.4670718462546926","0.4239199451232302","0.523566568158767","22830.2","22829","22831"
"3001","0.07501229535726484","0","0.27030685176073027","13083","13083","13083","0.23028269137800791","0.10329768825594206","0.2897606485101937","23083.2","23082","23084","0.4623058107827923","0.41596174582816553","0.5227532996420343","23083.2","23082","23084"
"3251","0.07456210977326302","0","0.25840067663730504","13336","13336","13336","0.2314710306000888","0.11771608235493784","0.29164277164602187","23336.2","23335","23337","0.4707236729816218","0.392108623259701","0.5336034484832044","23336.2","23335","23337"
"3501","0.07386106279950488","0","0.2579695625618261","13589","13589","13589","0.23486059897701725","0.11216275426531401","0.2884574477317532","23589.2","23588","23590","0.474348594438417","0.4298346743653396","0.5357559927083221","23589.2","23588","23590"
"3751","0.07272822249333169","0","0.2638956441376135","13842","13842","13842","0.23579478674650525","0.15181485029352143","0.29842961302062476","23842.2","23841","23843","0.47573908675166177","0.4279812251260747","0.5460716397091756","23842.2","23841","23843"
"4001","0.07377890009316983","0","0.25995570465881845","14095","14095","14095","0.2401610505832378","0.16878481325869332","0.2987740194369127","24095.2","24094","24096","0.4807709074058632","0.4396776670701351","0.5543486674053708","24095.2","24094","24096"
"4251","0.07326327143241709","0","0.2628659328008132","14348","14348","14348","0.2472505307434972","0.16475917135126245","0.32053566613230905","24348.2","24347","24349","0.4811326307235458","0.442546325454217","0.5393988793064799","24348.2","24347","24349"
"4501","0.06998188184139151","0","0.2556474186299005","14601","14601","14601","0.24347314387856392","0.16589508371339742","0.30060646720659906","24601.2","24600","24602","0.4854959693729131","0.44087129160933375","0.5438995114953992","24601.2","24600","24602"
"4751","0.07384167811924162","0","0.2701440782038727","14854","14854","14854","0.23721299412158806","0.17014970270727572","0.283000978030089","24854.2","24853","24855","0.4868798040021822","0.40115203088880846","0.552685740800143","24854.2","24853","24855"
