"stage1/step","Group: VaDE_Simple_cauchy - stage1/mcc_pearson","Group: VaDE_Simple_cauchy - stage1/mcc_pearson__MIN","Group: VaDE_Simple_cauchy - stage1/mcc_pearson__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX","Group: Danru_Simple_cauchy - stage1/mcc_pearson","Group: Danru_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Danru_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_pearson","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX"
"1","0.5273497796270356","0.37303531961000536","0.6591811275397629","2","2","2","0.5272779309165785","0.3730353488249935","0.6592216998503405","4","4","4","0.5364303567622061","0.4062723349428005","0.6560331878627942","4","4","4"
"251","0.47605568184196023","0.37540005086455713","0.6452084399796739","253","253","253","0.4689508736282312","0.3256357570111383","0.5564794885497204","505","505","505","0.5499747335154588","0.3428017509168216","0.6783131121498429","505","505","505"
"501","0.46955480000563093","0.3402364932663718","0.6897084240517514","504","504","504","0.5050520868654629","0.37714401102453615","0.6335456706726057","1006","1006","1006","0.6156712260095135","0.45646270307161646","0.8079023026875504","1006","1006","1006"
"751","0.4799789837494816","0.3535442282218113","0.6108732572418829","755","755","755","0.5001714734843634","0.37418883828412297","0.6267636845142409","1507","1507","1507","0.7098127250460583","0.43634893313748463","0.8380667753265615","1507","1507","1507"
"1001","0.5078171922985778","0.42373404751235516","0.5858742942310124","1006","1006","1006","0.4624120097000839","0.33523803054382345","0.6847868115283564","2008","2008","2008","0.599668846274626","0.44622366086135895","0.7219256033637959","2008","2008","2008"
"1251","0.504642383216088","0.33909672425802","0.657167640495198","1257","1257","1257","0.4429021064141961","0.35290254712781394","0.653098463541512","2509","2509","2509","0.6880050521542523","0.5975475188964211","0.7838816312579086","2509","2509","2509"
"1501","0.5068725343654756","0.3919598676767924","0.6025077841760592","1508","1508","1508","0.4864757257689883","0.3515026768188047","0.7393934097223344","3010","3010","3010","0.6524901428020002","0.4562676143628864","0.7891912891468665","3010","3010","3010"
"1751","0.5146208257730603","0.3367781510342415","0.6416523571838277","1759","1759","1759","0.4645989068334767","0.23908071059214198","0.6349251299784621","3511","3511","3511","0.685722379987773","0.5453735610799278","0.8746444848337213","3511","3511","3511"
"2001","0.5182599060810064","0.3055270286956849","0.635625756537082","2010","2010","2010","0.5108855301392046","0.26313606130113404","0.6706675901156202","4012","4012","4012","0.6373996915735436","0.38878978001343206","0.8130514030374568","4012","4012","4012"
"2251","0.4653295945769641","0.3838132379314991","0.5454760207106185","2261","2261","2261","0.46364518396166376","0.2693082253881116","0.6199616713351083","4513","4513","4513","0.6358015430786431","0.4692537303743731","0.7807155473356818","4513","4513","4513"
