"stage2/step","Group: VaDE_Simple_cauchy - stage2/mcc_spearman","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MIN","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_spearman","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX"
"1","0.4984304797458032","0.4390199754622322","0.5737235914459624","10047","10047","10047","0.4314976984388208","0.280526437638932","0.5686869034817751","20048","20048","20048","0.5724568325099683","0.46159430509365","0.6449794246640632","20048","20048","20048"
"251","0.44572022355576807","0.19987285551552267","0.548634425888903","10300","10300","10300","0.4315864132004714","0.2664383093897487","0.5509841606419403","20301","20301","20301","0.5911426458526959","0.45291575079214813","0.6464759338368659","20301","20301","20301"
"501","0.46377172843727016","0","0.594566636467281","10553","10553","10553","0.4386494320046183","0.31211749695194496","0.5153157227330388","20554","20554","20554","0.6071222474556046","0.5732542818044258","0.6508760911851511","20554","20554","20554"
"751","0.32642832543676537","0","0.5292120507629184","10806","10806","10806","0.4555314417926265","0.3225650178460773","0.5593097921996207","20807","20807","20807","0.6103808675745704","0.5674566486962664","0.6677346526636286","20807","20807","20807"
"1001","0.3487685415316276","0","0.620848299361557","11059","11059","11059","0.44735422672871106","0.195363203864965","0.5472503249162456","21060","21060","21060","0.6267319268216618","0.5611163308338832","0.7139647373893246","21060","21060","21060"
"1251","0.34075603558271295","0","0.6442004233923474","11312","11312","11312","0.4360416381721831","0.29392235586446963","0.5306613848893578","21313","21313","21313","0.6299644229609498","0.5486405178077013","0.7196204417447202","21313","21313","21313"
"1501","0.36277201084698224","0","0.6087666891395894","11565","11565","11565","0.4481831265380721","0.2904967905696933","0.559312919962744","21566","21566","21566","0.6446892426807388","0.5947075935155748","0.7269586804208298","21566","21566","21566"
"1751","0.34913133027613785","0","0.5987787551997896","11818","11818","11818","0.449520055843932","0.29192772773256626","0.5993500048268249","21819","21819","21819","0.6472795518214338","0.5971187656853311","0.7332867417810317","21819","21819","21819"
"2001","0.34636668770072926","0","0.587567175283511","12071","12071","12071","0.4493678945403615","0.25852011558303545","0.5597283842332751","22072","22072","22072","0.6512157248705158","0.5998691267403916","0.7356575520965455","22072","22072","22072"
"2251","0.2752886290689923","0","0.5156705833307318","12324","12324","12324","0.4226162611791479","0.30997887476164426","0.5587680627417972","22325","22325","22325","0.6475996842224943","0.5897871976770156","0.7397550144676789","22325","22325","22325"
"2501","0.27613434869811593","0","0.5440497066602489","12577","12577","12577","0.4697698720654139","0.29142610091017085","0.5806120806704095","22578","22578","22578","0.6470476013158084","0.5687698122969799","0.742135955821618","22578","22578","22578"
"2751","0.21323028712131792","0","0.5791184345827975","12830","12830","12830","0.40458941572379664","0.31175327883152665","0.5352986971658074","22831","22831","22831","0.6307672924055998","0.5340028223300809","0.7494553613178508","22831","22831","22831"
"3001","0.2067276535527714","0","0.49797854874698483","13083","13083","13083","0.4070933461294284","0.26692238806911156","0.5585128245807195","23084","23084","23084","0.6435384269695381","0.553912269260236","0.7489788128413645","23084","23084","23084"
"3251","0.22106126469035997","0","0.5521182503136318","13336","13336","13336","0.4402030346556919","0.25796556703071416","0.5734106681223395","23337","23337","23337","0.6495300813758467","0.571064960546602","0.7548683669633584","23337","23337","23337"
"3501","0.18255637415274878","0","0.48414015767084867","13589","13589","13589","0.46128834021769993","0.2847184749382765","0.5522769465183721","23590","23590","23590","0.6577703546840246","0.5863722798085996","0.7596031206749543","23590","23590","23590"
"3751","0.12777384704513012","0","0.4388411388169797","13842","13842","13842","0.40836929222971347","0.3086447912832067","0.555785135399432","23843","23843","23843","0.653279315954606","0.5678070772287933","0.7650358246707513","23843","23843","23843"
"4001","0.19530218106193659","0","0.5647907387570194","14095","14095","14095","0.421012144761533","0.25752197097772905","0.5041651026939366","24096","24096","24096","0.649203334952318","0.5874813113632998","0.7618531319581922","24096","24096","24096"
"4251","0.13829372324304418","0","0.47942699278111944","14348","14348","14348","0.41547592968186287","0.25889875510809557","0.48861782019531974","24349","24349","24349","0.6539627577578393","0.6021215575667926","0.7628544239311895","24349","24349","24349"
"4501","0.10768529554993131","0","0.4469629118220912","14601","14601","14601","0.40160087773932807","0.18112472636398977","0.5319310499795105","24602","24602","24602","0.6461613014037055","0.5598677911693167","0.7601617559024332","24602","24602","24602"
"4751","0.13284205582637984","0","0.5011667594105798","14854","14854","14854","0.395857000790699","0.27323060323622705","0.5015580225965638","24855","24855","24855","0.653603170915485","0.5745533809255098","0.7629838707345101","24855","24855","24855"
"5001","0.12961761282123346","0","0.46719470244184175","15107","15107","15107","0.4336504868255734","0.2981237522513196","0.5633113308892247","25108","25108","25108","0.65900286035168","0.6202334281784907","0.7624158378001207","25108","25108","25108"
"5251","0.13851219861538974","0","0.5196859295213727","15360","15360","15360","0.39634262984618995","0.26826951312622555","0.5651766224490352","25361","25361","25361","0.6555250926843957","0.5742710489610228","0.7608684037845822","25361","25361","25361"
"5501","0.07625080000608675","0","0.39235498098628696","15613","15613","15613","0.4366309349285378","0.3104243846787645","0.5811544501044489","25614","25614","25614","0.6488269081300178","0.5293389555350273","0.7614712062921742","25614","25614","25614"
"5751","0.09409198081372891","0","0.5022539671728293","15866","15866","15866","0.4417490693117073","0.30758201269081525","0.5909037034262384","25867","25867","25867","0.6729431837283196","0.5982300446922009","0.7649400986576027","25867","25867","25867"
"6001","0.1109591675340718","0","0.5591204516092318","16119","16119","16119","0.42953699077153634","0.28106911243837934","0.5567678723120522","26120","26120","26120","0.6669633972949246","0.6259113438049252","0.7572103294618078","26120","26120","26120"
"6251","0.09922890123125654","0","0.4963662040294121","16372","16372","16372","0.3924678157465943","0.2662266359777895","0.5016077194369488","26373","26373","26373","0.6771025462477622","0.6212178679585506","0.7636483552122909","26373","26373","26373"
