"stage2/step","Group: VaDE_Complicate_gauss - stage2/mcc_pearson","Group: VaDE_Complicate_gauss - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_gauss - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_pearson","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Ours_Complicate_gauss - stage2/mcc_pearson","Group: Ours_Complicate_gauss - stage2/mcc_pearson__MIN","Group: Ours_Complicate_gauss - stage2/mcc_pearson__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX"
"1","0.528732827676553","0.49251467732018456","0.5734351504332681","10047","10047","10047","0.5410166189969805","0.4735015699704402","0.6002696614764916","20047.4","20046","20048","0.5013718121288797","0.45822120104643266","0.5568217111897695","20047.2","20046","20048"
"251","0.5163386009761133","0.48734851996479367","0.5385333973506921","10300","10300","10300","0.4678642467527892","0.3400564855435928","0.5669345697699473","20300.4","20299","20301","0.5638349444929339","0.4949316327487166","0.6179901944718662","20300.2","20299","20301"
"501","0.5176310192299056","0.4911594772654585","0.5455765575651511","10553","10553","10553","0.44730790781147817","0.25033966224872545","0.5362642503083799","20553.4","20552","20554","0.5845049585993085","0.523311823481909","0.6783746838208935","20553.2","20552","20554"
"751","0.5127721561053874","0.45620484699064595","0.5457025262820812","10806","10806","10806","0.4432004667216579","0.24486162370964717","0.5396153379735543","20806.4","20805","20807","0.6001873419663836","0.5269200776291738","0.709904966744764","20806.2","20805","20807"
"1001","0.5060888427645129","0.4537608713785293","0.5429506279177992","11059","11059","11059","0.4406395222333794","0.2381511318450431","0.520457516560817","21059.4","21058","21060","0.6118572036280765","0.5304368496342979","0.7312250556643509","21059.2","21058","21060"
"1251","0.49410981709246415","0.42421545695813184","0.5447734873195631","11312","11312","11312","0.4450318269407577","0.2251279078519572","0.574763950973449","21312.4","21311","21313","0.6230823475521949","0.5397044092699661","0.7526924049596281","21312.2","21311","21313"
"1501","0.4824651453415491","0.3808122115589426","0.5505517306915889","11565","11565","11565","0.4577436180854445","0.23179188862261038","0.5696852257581038","21565.4","21564","21566","0.6316545731200263","0.5399137821765133","0.7672591340954211","21565.2","21564","21566"
"1751","0.47505724040720965","0.3322899186619028","0.537544330236074","11818","11818","11818","0.4702795603690079","0.2300142469224089","0.5882693270394765","21818.4","21817","21819","0.6396640193588777","0.549445498989","0.7790456280748648","21818.2","21817","21819"
"2001","0.4619908247481483","0.30921231824147755","0.5289837402941862","12071","12071","12071","0.48973019902996134","0.22399311972602481","0.591992718376944","22071.4","22070","22072","0.6471257229086882","0.5545563992105353","0.7862535694958928","22071.2","22070","22072"
"2251","0.455535635324142","0.3167062335566605","0.549206969107602","12324","12324","12324","0.49942406196222533","0.22510545253925995","0.6021725504723465","22324.4","22323","22325","0.652013326206462","0.5600452322345641","0.7999894540568145","22324.2","22323","22325"
"2501","0.4372502069572809","0.2922636168611747","0.5295332266872564","12577","12577","12577","0.49555101056106865","0.22046328417183397","0.6048594132669268","22577.4","22576","22578","0.6588901366935014","0.5563487395615427","0.8050540999718369","22577.2","22576","22578"
"2751","0.42279391311658054","0.2356947586636935","0.5061343337843095","12830","12830","12830","0.5005835527980046","0.22854478431934327","0.6086011653645113","22830.4","22829","22831","0.6642133281990186","0.5623780971915807","0.8150341985536496","22830.2","22829","22831"
"3001","0.40988128217420483","0.2868725477682933","0.5093070921649137","13083","13083","13083","0.5125260485215647","0.22824611138603185","0.6176871260993714","23083.4","23082","23084","0.6690590653385681","0.5603208964515493","0.8194318879578801","23083.2","23082","23084"
"3251","0.4091118718152087","0.2810665261128116","0.4817102666687245","13336","13336","13336","0.502684411162424","0.22181474745886987","0.610875579267986","23336.4","23335","23337","0.6728946912823593","0.5632042636852298","0.8324685580387813","23336.2","23335","23337"
"3501","0.389563414771091","0.2565319665882312","0.48695380193065396","13589","13589","13589","0.5024872255452386","0.2198501265420548","0.6094032430830576","23589.4","23588","23590","0.6775915280872329","0.5622955757492756","0.8365194574074379","23589.2","23588","23590"
"3751","0.3793554441293662","0.31731036233018395","0.47931768845155964","13842","13842","13842","0.5070188683818622","0.22140219665379965","0.6168763792191642","23842.4","23841","23843","0.6832999130364759","0.5632317294237407","0.8440277344711324","23842.2","23841","23843"
