"stage2/step","Group: VaDE_Complicate_gauss - stage2/mcc_spearman","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_spearman","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Ours_Complicate_gauss - stage2/mcc_spearman","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX"
"1","0.471303561684994","0.4353172057259189","0.5024176987511969","10047","10047","10047","0.48452529740358086","0.4209547816843477","0.5304540548924033","20047.4","20046","20048","0.45464662384621707","0.4107611538149688","0.5084031711497543","20047.2","20046","20048"
"251","0.4591767873535083","0.43720681893652547","0.4761485115079342","10300","10300","10300","0.4308024002033883","0.33891255414572","0.521398792870879","20300.4","20299","20301","0.5001963964465908","0.44082140173884554","0.5400408542281274","20300.2","20299","20301"
"501","0.45999594555629236","0.4404731953794946","0.48253321576325786","10553","10553","10553","0.41391943317373536","0.26635610747643323","0.5027561933868443","20553.4","20552","20554","0.5174133778053249","0.46234155917100644","0.5874941027887662","20553.2","20552","20554"
"751","0.4562973807466621","0.4196002373091813","0.48335589874153967","10806","10806","10806","0.4106663773605588","0.25739986202720316","0.5006188380499597","20806.4","20805","20807","0.5311388868453506","0.46806630116439274","0.6156246038907466","20806.2","20805","20807"
"1001","0.4509722510646392","0.4207655026494401","0.475934640014937","11059","11059","11059","0.40805697695747145","0.250594788338687","0.4923881023148507","21059.4","21058","21060","0.5426895579198294","0.47457602390190806","0.6389743290065597","21059.2","21058","21060"
"1251","0.4440564763315045","0.3949079333727262","0.4779290719897985","11312","11312","11312","0.41130023117726155","0.23440171900677348","0.5375994933245392","21312.4","21311","21313","0.5530494619303079","0.48244776372765896","0.6591878684160882","21312.2","21311","21313"
"1501","0.4360762574835443","0.361971764793807","0.48340057991697305","11565","11565","11565","0.42096870516559715","0.24384271538986874","0.5307149372944809","21565.4","21564","21566","0.5606207781120712","0.4809747303179767","0.6720400051613952","21565.2","21564","21566"
"1751","0.4310471400615873","0.3276247406487743","0.47959580944677926","11818","11818","11818","0.4306229444913095","0.24123783766829576","0.5285260024778604","21818.4","21817","21819","0.5662485128814563","0.4869883464547894","0.6799926749451563","21818.2","21817","21819"
"2001","0.422896276684196","0.31515650061480954","0.4729198499675184","12071","12071","12071","0.4434021483715411","0.23430172484354528","0.5262758197865994","22071.4","22070","22072","0.5740282086650603","0.49455039200062656","0.6912644707632896","22071.2","22070","22072"
"2251","0.4144820436393498","0.3033046073430195","0.48875823884468533","12324","12324","12324","0.45262598955609407","0.2327756283971913","0.535264438235241","22324.4","22323","22325","0.5802125513711777","0.5004813396219341","0.7054561075794928","22324.2","22323","22325"
