"stage1/step","Group: VaDE_Simple_gauss - stage1/mcc_spearman","Group: VaDE_Simple_gauss - stage1/mcc_spearman__MIN","Group: VaDE_Simple_gauss - stage1/mcc_spearman__MAX","Group: VaDE_Simple_gauss - _step","Group: VaDE_Simple_gauss - _step__MIN","Group: VaDE_Simple_gauss - _step__MAX","Group: Danru_Simple_gauss - stage1/mcc_spearman","Group: Danru_Simple_gauss - stage1/mcc_spearman__MIN","Group: Danru_Simple_gauss - stage1/mcc_spearman__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX","Group: Ours_Simple_gauss - stage1/mcc_spearman","Group: Ours_Simple_gauss - stage1/mcc_spearman__MIN","Group: Ours_Simple_gauss - stage1/mcc_spearman__MAX","Group: Ours_Simple_gauss - _step","Group: Ours_Simple_gauss - _step__MIN","Group: Ours_Simple_gauss - _step__MAX"
"1","0.42920454089837295","0.35921969289573874","0.518655699570237","2","2","2","0.5001761036641319","0.4033605190336805","0.5850955824591663","4","4","4","0.4952722778854063","0.41002674098523745","0.6069415440404614","4","4","4"
"251","0.6762532865300612","0.5345932522277596","0.7600139630807591","253","253","253","0.6622012573553436","0.42821691050314686","0.7472408759454031","505","505","505","0.6654671374195059","0.6107188413162853","0.7662628142856304","505","505","505"
"501","0.7026816843403012","0.616766080488896","0.7872562032972491","504","504","504","0.6635580154995959","0.44119990928935593","0.7469514204618682","1006","1006","1006","0.6667352786517575","0.6102463452379666","0.7695504854147655","1006","1006","1006"
"751","0.7169661646749195","0.622664741337761","0.7988501051783561","755","755","755","0.6601763433046232","0.4412102861878167","0.7437881808986235","1507","1507","1507","0.6654989364137494","0.6096059960810271","0.7696396749138602","1507","1507","1507"
"1001","0.6967800401673873","0.5276505618607855","0.8022592595138711","1006","1006","1006","0.6607631016726527","0.45515813893395746","0.7439357796391334","2008","2008","2008","0.6661966348538482","0.610262494075787","0.7699748961449032","2008","2008","2008"
"1251","0.7225580199452304","0.6560248446812046","0.7661519470719812","1257","1257","1257","0.6582212418344897","0.4488968637839883","0.7395091847064141","2509","2509","2509","0.6663308790580864","0.610839877886371","0.7724122545017019","2509","2509","2509"
"1501","0.7067504238471292","0.5738531636802492","0.7929657606365293","1508","1508","1508","0.6569603442253659","0.4504227421516757","0.7377385661769377","3010","3010","3010","0.6666816491658641","0.6119926004873754","0.7728258057517744","3010","3010","3010"
"1751","0.6925653946315063","0.5463050612610256","0.7918142422990121","1759","1759","1759","0.6554300522293353","0.44988891707763545","0.7381337478383756","3511","3511","3511","0.6666897803984193","0.6131128494373125","0.7688484791117794","3511","3511","3511"
"2001","0.6796289308770274","0.5189712442852876","0.7892352635985308","2010","2010","2010","0.6533702814732951","0.45808755014799746","0.7344842480037439","4012","4012","4012","0.6653949202306658","0.6138107980479637","0.7698543649287553","4012","4012","4012"
"2251","0.7126094738669458","0.6183029308062516","0.785365240617355","2261","2261","2261","0.651870469352203","0.45145353227252283","0.7322590005253065","4513","4513","4513","0.6662624299944495","0.6141386446028548","0.771422632748474","4513","4513","4513"
"2501","0.7226935917187662","0.6593046749764255","0.7836252066136705","2512","2512","2512","0.6490893129492168","0.4402209544109567","0.7288393430968912","5014","5014","5014","0.6657760502905554","0.6155050137740284","0.771400418190376","5014","5014","5014"
"2751","0.7197725638107869","0.6642087973870477","0.7828739723072474","2763","2763","2763","0.6481563766540389","0.44377298758479666","0.725586057897761","5515","5515","5515","0.6654184183739424","0.6153039167607952","0.7708413477611562","5515","5515","5515"
"3001","0.6784111429525712","0.5617090582072178","0.7824923911458818","3014","3014","3014","0.6479636506811155","0.44667274211461344","0.7237501222452529","6016","6016","6016","0.6659730658221147","0.6172180404699351","0.7716126134412189","6016","6016","6016"
"3251","0.7250129266206898","0.6566291371225156","0.7795667793583928","3265","3265","3265","0.6466479831824025","0.44713398202876947","0.7233045548826601","6517","6517","6517","0.6662235693490284","0.615717320209734","0.772055336263299","6517","6517","6517"
"3501","0.723144811980668","0.6536763790483552","0.8053844351032545","3516","3516","3516","0.6468930809483321","0.4446945187477878","0.7210959670702645","7018","7018","7018","0.6665821591721883","0.6165937914811742","0.7717484502261688","7018","7018","7018"
"3751","0.7164228316352476","0.6266146112259996","0.7909236840068236","3767","3767","3767","0.6455459086590399","0.4438338728466271","0.7224820967940729","7519","7519","7519","0.666278259371882","0.61631464917008","0.7718018699667594","7519","7519","7519"
"4001","0.701441450633101","0.6566495218861029","0.7840540068528682","4018","4018","4018","0.6457532687787741","0.44748919073001064","0.7206579634528287","8020","8020","8020","0.6671815402003969","0.616834066283768","0.772809338302109","8020","8020","8020"
