"stage2/step","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_pearson","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_pearson","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"1","0.5160290147207497","0.4488423203178379","0.5599616182485105","10047","10047","10047","0.5145321587194893","0.4703749044597728","0.5746859030851434","20047.4","20046","20048","0.5242562452076147","0.47548828845107555","0.5608721686852656","20047.2","20046","20048"
"251","0.43858608197215593","0.06752654158706226","0.5607725102487573","10300","10300","10300","0.4337986368407793","0.3419368345652828","0.5654437197543769","20300.4","20299","20301","0.5688908343606016","0.5276440786666619","0.6176908967479006","20300.2","20299","20301"
"501","0.4126958295472215","0.1078156002444953","0.5200434032339871","10553","10553","10553","0.4089348485554728","0.3360492531692899","0.5335243536399654","20553.4","20552","20554","0.5827500591466204","0.5314622205300088","0.6611262360166168","20553.2","20552","20554"
"751","0.40150470387394754","0.13574806378764995","0.5193710071807507","10806","10806","10806","0.39971324136004954","0.3278984104366067","0.5210111487661926","20806.4","20805","20807","0.601391974614141","0.5459748619926186","0.682529357773403","20806.2","20805","20807"
"1001","0.3832728405556415","0.1698806409648968","0.5228686296233278","11059","11059","11059","0.39568082395765175","0.3341654151256298","0.5077279419963265","21059.4","21058","21060","0.6107005380689201","0.5482592394196575","0.6981393227385795","21059.2","21058","21060"
"1251","0.35665171034037657","0.16276323793510378","0.4642393773929923","11312","11312","11312","0.3913417937137819","0.31803364157022285","0.5196900656769586","21312.4","21311","21313","0.624571187131941","0.5720462978642515","0.7084871098273108","21312.2","21311","21313"
"1501","0.3492466900029438","0.2082640595719572","0.45217144409983734","11565","11565","11565","0.38830245781342787","0.31684429676783366","0.5170574827801857","21565.4","21564","21566","0.636727974326172","0.5771581101593739","0.7172441153057284","21565.2","21564","21566"
"1751","0.347309230217704","0.22014193202063814","0.47327845420165754","11818","11818","11818","0.3858524874939001","0.3101703694062703","0.5113564374671036","21818.4","21817","21819","0.6440019532999866","0.5859082254318606","0.7303954118006069","21818.2","21817","21819"
"2001","0.33874104919675524","0.19206081567327526","0.4601094458760812","12071","12071","12071","0.3877595467630604","0.3165947741963474","0.5323307118042557","22071.4","22070","22072","0.6521496148783918","0.5863103157763846","0.7405762726320266","22071.2","22070","22072"
"2251","0.3228438478918348","0.2078927401450667","0.4622837472613123","12324","12324","12324","0.3955212049266076","0.31961603252146986","0.60608005669869","22324.4","22323","22325","0.6613012723456259","0.6008676295602232","0.7482161302666667","22324.2","22323","22325"
