"stage2/step","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_spearman","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_spearman","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"1","0.4569488424844095","0.41966961009009224","0.4882239793335095","10047","10047","10047","0.463598562104827","0.42414107700700426","0.5052253827881014","20047.4","20046","20048","0.4629676270896438","0.4256715994028474","0.49316464064728577","20047.2","20046","20048"
"251","0.3989621776316893","0.0996900596460187","0.49638416792585066","10300","10300","10300","0.4023205029308481","0.324890658029062","0.49388627486106396","20300.4","20299","20301","0.4985993436964408","0.47099099015862944","0.5457432108450411","20300.2","20299","20301"
"501","0.37392791338132225","0.10432855501159122","0.4693101214625375","10553","10553","10553","0.38168657788833327","0.31396295046191536","0.4754233875025468","20553.4","20552","20554","0.5085182905811971","0.4571858370161633","0.5766235424714834","20553.2","20552","20554"
"751","0.36634576774334326","0.1315244066785235","0.46147992895527346","10806","10806","10806","0.3739999595106015","0.30336778340445514","0.4675257133315238","20806.4","20805","20807","0.5228287360081307","0.4683278339815821","0.5936432149401438","20806.2","20805","20807"
"1001","0.35386626049042863","0.16613256266773851","0.45688432836310133","11059","11059","11059","0.36667473508060855","0.30632883235469544","0.4555632401547274","21059.4","21058","21060","0.5324533998927027","0.4788221774895776","0.605612148478846","21059.2","21058","21060"
"1251","0.3326364732721132","0.15929409001801265","0.41344393997347223","11312","11312","11312","0.36500016695611526","0.2979678194657732","0.4672763066142081","21312.4","21311","21313","0.546707984922379","0.4988096279535064","0.6197880650250831","21312.2","21311","21313"
"1501","0.32360692602334373","0.1925675150170157","0.4093936920166275","11565","11565","11565","0.36260497740068","0.3007378890325611","0.46554806815487587","21565.4","21564","21566","0.5549518563193689","0.5025268205087804","0.6264819003211611","21565.2","21564","21566"
"1751","0.3315761838919782","0.20781877269065524","0.4383066447100118","11818","11818","11818","0.3610081669014305","0.2925918667981238","0.4604856669109135","21818.4","21817","21819","0.5618914707836379","0.5083674859052081","0.642730655703482","21818.2","21817","21819"
"2001","0.31918947346511534","0.1793421344047354","0.4093337813867791","12071","12071","12071","0.3615396835948034","0.2946264292693319","0.4784379157690686","22071.4","22070","22072","0.5700142830303182","0.5180101719579988","0.6482612559022967","22071.2","22070","22072"
"2251","0.3078769293228432","0.21030492577259707","0.4077686654229984","12324","12324","12324","0.36802184616415856","0.30181426205254747","0.529121244996273","22324.4","22323","22325","0.5764194171381312","0.5223216358194993","0.6520732130657654","22324.2","22323","22325"
"2501","0.3040198458564367","0.21092837416010424","0.38824369305337636","12577","12577","12577","0.37201937909820554","0.29655630767617697","0.5335771940927144","22577.4","22576","22578","0.583785205756777","0.5277083924004714","0.6646416961641347","22577.2","22576","22578"
"2751","0.3105866517996473","0.1902445743744616","0.3983885769506467","12830","12830","12830","0.3694613912348398","0.2966796018664394","0.5262436025432053","22830.4","22829","22831","0.5909358912545487","0.5350537095331823","0.672896977110887","22830.2","22829","22831"
"3001","0.3029966611909668","0.20145952285830218","0.38998541143372967","13083","13083","13083","0.3854173680429086","0.2945908741584268","0.5644065565059804","23083.4","23082","23084","0.5951775474809822","0.5342555096518284","0.6785546809003524","23083.2","23082","23084"
