"stage1/step","Group: VaDE_Simple_gumbel - stage1/mcc_pearson","Group: VaDE_Simple_gumbel - stage1/mcc_pearson__MIN","Group: VaDE_Simple_gumbel - stage1/mcc_pearson__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: Danru_Simple_gumbel - stage1/mcc_pearson","Group: Danru_Simple_gumbel - stage1/mcc_pearson__MIN","Group: Danru_Simple_gumbel - stage1/mcc_pearson__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Ours_Simple_gumbel - stage1/mcc_pearson","Group: Ours_Simple_gumbel - stage1/mcc_pearson__MIN","Group: Ours_Simple_gumbel - stage1/mcc_pearson__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"1","0.5259132730987958","0.4056381829820608","0.7426577748256049","2","2","2","0.6117686754418268","0.4545632476141274","0.821686624630562","4","4","4","0.6235881579074353","0.4934143527621717","0.8166848148335409","4","4","4"
"251","0.69510455240631","0.6440908867897622","0.7944967036609804","253","253","253","0.7449985844568574","0.586306676861796","0.869177147836277","505","505","505","0.7700227238345997","0.6280021485162436","0.8961369531918598","505","505","505"
"501","0.7949179680266549","0.7214172038425524","0.8835731528492533","504","504","504","0.7481045771208501","0.5803958494571915","0.8755739202031328","1006","1006","1006","0.7644787997406495","0.6198302581548129","0.8940055930333131","1006","1006","1006"
"751","0.7868052525471673","0.6465681075908029","0.9675222464155208","755","755","755","0.7447343582178065","0.5611166976042483","0.8677485641220072","1507","1507","1507","0.7680919796025746","0.6283148278311611","0.8966489168340895","1507","1507","1507"
"1001","0.8068037587363494","0.7112868248595933","0.9519631083327353","1006","1006","1006","0.7456622815075442","0.5510381636857408","0.8634173360075899","2008","2008","2008","0.7657162349376436","0.6195478958984973","0.8970513835549244","2008","2008","2008"
"1251","0.7993316491331501","0.7225103821342204","0.928345733876253","1257","1257","1257","0.7479081038890539","0.5674171316218563","0.8653544537295009","2509","2509","2509","0.7665340652782467","0.6203323219075113","0.8981370640983464","2509","2509","2509"
"1501","0.7879389756025473","0.7111869275656372","0.9460046906589188","1508","1508","1508","0.7450385215146855","0.5450007227724566","0.8615851774943427","3010","3010","3010","0.7683907531176974","0.6255679570376128","0.901028246189589","3010","3010","3010"
"1751","0.7891922007088394","0.699603262711487","0.9255664570608211","1759","1759","1759","0.7446013037776418","0.5728072569614294","0.8537494956826622","3511","3511","3511","0.7670575617895","0.6147838005221936","0.9021259860714306","3511","3511","3511"
"2001","0.7875537721786497","0.6924180882500156","0.955780468262364","2010","2010","2010","0.7430345664387241","0.5728374043541249","0.8613010801759468","4012","4012","4012","0.7689075681189159","0.626322967628118","0.901580321597638","4012","4012","4012"
"2251","0.7697481400276043","0.6075863833308847","0.9774309384005532","2261","2261","2261","0.7425399684362091","0.571273827149481","0.8581896801802685","4513","4513","4513","0.7684751551424703","0.6184588346065472","0.9030234296746272","4513","4513","4513"
"2501","0.7786358476009371","0.4518807292053338","0.974127673795245","2512","2512","2512","0.7376806636502604","0.5711558149550396","0.840746418071272","5014","5014","5014","0.771004284463839","0.621712494530264","0.899132121473113","5014","5014","5014"
"2751","0.7634012705333143","0.5668107200075864","0.9043178432801806","2763","2763","2763","0.7369288276431537","0.5610746112135782","0.8457383256983269","5515","5515","5515","0.7684090164132091","0.6147690887187175","0.9046530978906823","5515","5515","5515"
"3001","0.7985200149561852","0.7208638651133908","0.9633250715622919","3014","3014","3014","0.7355015001765807","0.5802791760192682","0.8304543388723321","6016","6016","6016","0.7696434457080188","0.6214539810599242","0.9033316029923605","6016","6016","6016"
"3251","0.7851141304641513","0.6997024031529416","0.9610102458045175","3265","3265","3265","0.7317342481305289","0.5626346563705631","0.8378381335559277","6517","6517","6517","0.7715969137551059","0.6205542307335199","0.9049673436657745","6517","6517","6517"
"3501","0.7716940520285498","0.5042678537368266","0.9694593607683499","3516","3516","3516","0.7277653436902697","0.5532338194773231","0.8235838887667916","7018","7018","7018","0.7721100847869564","0.6161664074639387","0.9065613763815049","7018","7018","7018"
"3751","0.7503514069316752","0.5617472231670227","0.9668004187564883","3767","3767","3767","0.724788694406183","0.5460389937961343","0.827041349038808","7519","7519","7519","0.771623282800714","0.6118986151488157","0.9065865990520825","7519","7519","7519"
"4001","0.7949308950561516","0.7206196235389534","0.9550093276734798","4018","4018","4018","0.7250948325066258","0.5575115901229138","0.8214773374749226","8020","8020","8020","0.7723405179274679","0.6102817893672965","0.9066934240779648","8020","8020","8020"
"4251","0.7582763121472638","0.6132019274454347","0.957778143396237","4269","4269","4269","0.7201664730163814","0.5409518436763476","0.8110858036333767","8521","8521","8521","0.7737638877062434","0.6155828049080189","0.905550723236385","8521","8521","8521"
"4501","0.7832319259958745","0.692668069590721","0.9336977112332511","4520","4520","4520","0.7191413097057577","0.5465844877880143","0.810223826674183","9022","9022","9022","0.7732803527926679","0.6173408366276135","0.9103221843744812","9022","9022","9022"
"4751","0.7353714646317202","0.6119580847169831","0.9425293070954491","4771","4771","4771","0.7212594101771664","0.5667244105346065","0.814910071391516","9523","9523","9523","0.7735204642459786","0.6124165562884812","0.9082616959388726","9523","9523","9523"
"5001","0.7223353115713671","0.6097850301855653","0.8089086218356972","5022","5022","5022","0.7175879627912428","0.5522203969032845","0.8070791542180965","10024","10024","10024","0.7734617085512244","0.6199973413752716","0.906571491179203","10024","10024","10024"
"5251","0.7681799989197844","0.6926904186670964","0.8423689745651123","5273","5273","5273","0.714816436207574","0.5439553118879455","0.8025043981671308","10525","10525","10525","0.7750384552769688","0.6165452476364339","0.904578484152109","10525","10525","10525"
"5501","0.7636542164016509","0.6029873866497875","0.9451367361301494","5524","5524","5524","0.7135717800732648","0.5576276748350611","0.7944853332587454","11026","11026","11026","0.7744407238426192","0.6162263275402079","0.9086218976467538","11026","11026","11026"
"5751","0.76349928201627","0.6263366944255752","0.9426328044476442","5775","5775","5775","0.7108118649713212","0.5399243087373017","0.7969936161543331","11527","11527","11527","0.7759539984470932","0.6191075291949059","0.909296356306684","11527","11527","11527"
"6001","0.7530659297666321","0.6505740334690208","0.8262874215787779","6026","6026","6026","0.7138440683782749","0.5616576396334375","0.7978771740293288","12028","12028","12028","0.7793584676633948","0.6249309152030147","0.9077086962272265","12028","12028","12028"
"6251","0.7596250070501487","0.628340249836828","0.9048669046548398","6277","6277","6277","0.7089142464304554","0.5336332730404593","0.7877622237911116","12529","12529","12529","0.7781258855817816","0.6223219601304903","0.9070266580885296","12529","12529","12529"
"6501","0.7628952007083794","0.6035281703052152","0.9283512826023941","6528","6528","6528","0.7079608229536047","0.549545799343255","0.7848162523639832","13030","13030","13030","0.7781035506304088","0.6325002394694267","0.904385885301802","13030","13030","13030"
