"stage2/step","Group: VaDE_Simple_gumbel - stage2/mcc_spearman","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MIN","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_spearman","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Ours_Simple_gumbel - stage2/mcc_spearman","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"1","0.5607004370044408","0.39021207546107534","0.7170718643270448","10047","10047","10047","0.5759169576798441","0.49482605329443446","0.707932523812918","20048","20048","20048","0.6209731523189984","0.5359214868453115","0.7198152965743744","20048","20048","20048"
"251","0.5456430863736351","0.37583596085890375","0.6804862127572271","10300","10300","10300","0.5232397711464701","0.15803789892327957","0.6290704235761754","20301","20301","20301","0.6575192132600608","0.5699963206510201","0.7579916945175231","20301","20301","20301"
"501","0.49237856127841184","0.396804607471434","0.5982255566605037","10553","10553","10553","0.5056835729609275","0.13131122342339482","0.6366662733715386","20554","20554","20554","0.7079151672232304","0.6132604693446367","0.7986596665695259","20554","20554","20554"
"751","0.4844880337528649","0.33627492184055924","0.6637501376598205","10806","10806","10806","0.49636802787236034","0.13845981547747496","0.6324551488408092","20807","20807","20807","0.7161567213368236","0.6046504908530891","0.8061679032389316","20807","20807","20807"
"1001","0.4865361368932951","0.2856833663511591","0.6236837266540445","11059","11059","11059","0.48960165304506775","0.11923834825232354","0.6377749433090373","21060","21060","21060","0.7244982809069571","0.6149046636487597","0.808613778604689","21060","21060","21060"
"1251","0.4804044747604702","0.36056849827101384","0.604921343893964","11312","11312","11312","0.486585848214162","0.1169286007190183","0.6352933508874069","21313","21313","21313","0.7308269454468089","0.6210985159524124","0.8113874981316594","21313","21313","21313"
"1501","0.4992505349350762","0.3395577959762792","0.5837905222468863","11565","11565","11565","0.4878272188975089","0.13729287870224363","0.63190070499739","21566","21566","21566","0.7371751664742702","0.6267093761556618","0.8114887832941063","21566","21566","21566"
"1751","0.5640060636034956","0.44811835896853586","0.635328696361027","11818","11818","11818","0.4850774363603955","0.1112245149004184","0.6519220147036151","21819","21819","21819","0.7413071007893464","0.6364152035940963","0.8098780231386867","21819","21819","21819"
"2001","0.5273981626985746","0.4232340995337722","0.6530247096431274","12071","12071","12071","0.4820116530854771","0.11698112229034778","0.6429720970496238","22072","22072","22072","0.7467216714639879","0.634727583191789","0.8119954147097571","22072","22072","22072"
"2251","0.4782373897310396","0.26489727365281296","0.6246658003885789","12324","12324","12324","0.48031332705584473","0.10995589705569919","0.6375355223656215","22325","22325","22325","0.7519426164683056","0.6386480943922197","0.8118901341017528","22325","22325","22325"
"2501","0.5350468912216229","0.40518444223283795","0.636774104918593","12577","12577","12577","0.4810382142687981","0.12745903370833883","0.6428985878162439","22578","22578","22578","0.7570296403691453","0.6352673831391593","0.8108685936614829","22578","22578","22578"
